dev_day,manual_mean_mm,auto_mean_mm,auto_normalized_mm,normalized_bias_mm,normalized_error_pct
1,1.65,3.570315271596131,2.614568482105098,0.9645684821050979,58.458695885122026
2,1.81,3.715269294282738,2.720719393226546,0.9107193932265458,50.31598857602445
3,1.93,3.5033736735425247,2.565546650950545,0.635546650950545,32.929878287575946
6,2.78,5.649028681521056,4.1368258043524975,1.3568258043524977,48.80668360978452
7,3.37,5.76159236298118,4.21925702719624,0.8492570271962396,25.200505258041172
8,3.46,6.390900861425482,4.680104330694395,1.2201043306943946,35.26313094491451
9,4.55,6.391411008421056,4.680477915141258,0.13047791514125784,2.867646486620421
11,4.95,7.961997915036859,5.830630412068743,0.8806304120687427,17.790513375122522
13,5.75,8.063871581036612,5.905233256920699,0.1552332569206989,2.699708816011685
16,6.95,7.647055131220154,5.599995464285693,-1.350004535714307,19.42452569372824
16,7.23,7.647055131220154,5.599995464285693,-1.6300045357143071,22.545014325229342
