manual_date,dev_day,manual_mean_mm,manual_sd_mm,auto_mean_mm,auto_median_mm,auto_trimmed_mm,auto_sd_mm,n_auto,bias_mean_mm,bias_median_mm,bias_trimmed_mm,rel_error_pct,auto_over_manual,calib_dev_pct
03/08,1,1.65,0.1,3.472901018957052,3.393942549554801,3.4065709533150925,0.5496587239300542,92,1.8229010189570523,1.7439425495548009,1.7565709533150926,110.47884963376076,2.1047884963376076,110.47884963376076
04/08,2,1.81,0.09,3.5411114476723555,3.526530063714522,3.527178807331983,0.26936885149805057,18,1.7311114476723555,1.7165300637145218,1.7171788073319831,95.64151644598648,1.9564151644598649,95.64151644598648
06–07/08,3,1.93,0.004,3.5365815984340556,3.48381749476641,3.469263401491268,0.5263536823412002,37,1.6065815984340557,1.5538174947664098,1.539263401491268,83.24256986704953,1.8324256986704952,83.24256986704953
07/08,6,2.78,0.09,5.5937618713536255,5.597749795420616,5.572664754732057,1.090264907594366,28,2.8137618713536257,2.817749795420616,2.792664754732057,101.21445580408725,2.0121445580408728,101.21445580408728
08/08,7,3.37,0.21,5.733467156641339,5.744918416717963,5.695989159493328,1.6382495905456347,37,2.363467156641339,2.3749184167179633,2.3259891594933277,70.13255657689433,1.7013255657689432,70.13255657689432
09/08,8,3.46,0.22,6.2358288029990305,5.771436945678308,5.998993140506608,1.6504723348830628,32,2.7758288029990306,2.3114369456783077,2.5389931405066077,80.22626598263093,1.8022626598263094,80.22626598263093
10–11/08,9,4.55,0.07,6.682920015186431,6.317841302537895,6.668598911380177,1.3201740400605044,41,2.132920015186431,1.767841302537895,2.118598911380177,46.87736297113035,1.4687736297113037,46.87736297113037
11–12/08,11,4.95,0.18,7.922699982213481,7.905850346769546,7.867907827145419,1.8118414809409378,47,2.9726999822134808,2.9558503467695454,2.9179078271454184,60.05454509522183,1.6005454509522183,60.05454509522183
12–15/08,13,5.75,0.38,7.5877037506055505,7.725549023478351,7.58385061176826,1.9073201544138956,90,1.8377037506055505,1.9755490234783508,1.83385061176826,31.96006522792262,1.319600652279226,31.960065227922605
17/08,16,6.95,0.25,7.614514593468415,7.175398577906446,7.404890093606496,2.1355441348636526,54,0.6645145934684145,0.22539857790644557,0.4548900936064957,9.561361057099488,1.0956136105709948,9.561361057099482
21/08,16,7.23,0.52,7.614514593468415,7.175398577906446,7.404890093606496,2.1355441348636526,54,0.3845145934684142,-0.054601422093554675,0.17489009360649543,5.3183207948605,1.053183207948605,5.318320794860498
