larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,2682.0,256.45,159,0,1.0,14.24,24.08,2.0,84.34,49.88,0.806,63.4,0.814,0.544,8.1,8.54,3.88,2577.1,582.0
2,94.0,73.25,30,26.08,1.15,3.01,4.0,2.0,31.48,4.87,0.988,-87.1,0.662,0.463,133.32,1.82,9.32,2230.5,588.8
3,4127.0,494.3,306,132.31,2.313,12.94,25.46,2.0,116.54,74.19,0.771,78.6,0.621,0.441,11.12,10.73,5.48,2837.4,706.0
4,391.0,192.84,143,14.32,9.988,2.99,6.0,2.0,37.17,19.55,0.851,6.2,0.639,0.494,21.06,1.97,11.07,1750.9,886.2
5,14861.0,1805.27,1350,607.15,2.224,10.39,35.78,2.0,629.15,66.2,0.994,-25.4,0.369,0.1,139.63,9.9,12.11,1749.8,1178.8
6,117.0,37.8,3,2.24,1.342,10.44,11.31,10.0,13.54,11.07,0.576,-71.8,0.975,0.76,129.83,23.38,62.68,1997.5,1019.9
7,127.0,45.94,9,8.06,1.116,6.39,8.25,4.0,16.17,10.84,0.742,-27.1,0.92,0.575,131.9,22.26,61.5,1999.2,1039.9
8,511.0,120.95,52,39.0,1.333,9.26,14.42,2.83,46.2,16.8,0.932,-21.3,0.73,0.454,119.95,25.84,79.6,2704.9,1112.4
9,147.0,49.46,16,14.42,1.109,7.23,10.0,4.0,19.81,10.59,0.845,-42.4,0.896,0.574,141.5,13.23,54.71,2373.9,1156.9
10,237.0,80.08,32,24.7,1.296,6.0,10.77,2.0,31.21,11.76,0.926,-30.3,0.817,0.43,115.72,21.49,65.7,2198.5,1211.8
11,207.0,64.53,30,15.26,1.965,7.62,12.17,2.83,18.49,15.72,0.526,-29.5,0.796,0.605,98.51,19.79,73.47,2109.6,1227.0
12,394.0,93.64,35,25.81,1.356,9.64,14.42,2.83,36.06,15.61,0.901,-50.6,0.829,0.486,127.71,25.06,84.98,2935.7,1246.2
13,97.0,50.04,19,10.0,1.9,4.64,8.0,2.0,15.36,10.88,0.706,-22.7,0.758,0.551,111.16,16.52,62.82,2104.6,1244.5
14,254.0,92.57,37,21.93,1.687,6.43,12.0,2.0,29.73,13.76,0.886,65.5,0.789,0.508,110.81,20.96,69.65,2036.2,1297.6
15,149.0,50.53,15,14.87,1.009,7.05,8.49,2.83,21.54,9.17,0.905,-56.5,0.914,0.523,152.43,14.61,58.72,2756.9,1297.6
16,152.0,53.01,21,11.4,1.842,6.63,10.2,2.0,15.37,14.15,0.39,-72.4,0.844,0.526,114.46,24.15,74.23,1988.2,1320.8
17,391.0,89.6,62,0,1.0,5.73,8.0,2.83,33.14,31.85,0.275,-32.4,0.62,0.517,114.7,47.22,103.3,2328.6,1401.0
18,272.0,73.25,24,16.76,1.432,9.04,12.65,4.0,25.9,15.66,0.797,32.3,0.837,0.54,130.77,23.91,78.92,2451.9,1416.9
19,229.0,67.36,18,17.89,1.006,8.66,11.31,6.0,27.52,12.26,0.895,35.0,0.845,0.502,142.65,21.7,67.03,2463.9,1440.3
20,208.0,57.36,9,8.25,1.091,10.9,12.17,10.0,20.64,13.07,0.774,8.6,0.937,0.707,154.38,10.97,48.69,2681.3,1444.1
21,257.0,75.94,27,24.76,1.091,7.83,12.0,2.83,29.1,13.13,0.892,57.9,0.793,0.466,135.49,25.24,73.36,2612.3,1453.0
22,364.0,93.74,39,27.17,1.436,8.57,12.65,4.0,34.17,15.46,0.892,10.9,0.802,0.535,134.35,27.53,83.94,2980.8,1566.1
23,107.0,38.97,8,7.28,1.099,7.25,8.0,4.0,14.15,9.95,0.711,11.9,0.899,0.695,154.69,11.54,50.31,2296.6,1622.1
24,302.0,83.25,32,23.35,1.371,8.37,11.66,2.83,30.17,14.58,0.876,-20.2,0.778,0.559,132.87,24.22,75.02,2436.1,1666.5
25,205.0,62.18,17,16.76,1.014,8.19,10.0,5.66,24.98,11.98,0.877,67.5,0.861,0.512,107.09,14.31,50.17,1688.2,1759.8
26,145.0,68.18,27,16.12,1.674,4.82,8.94,2.0,22.53,12.72,0.825,-8.5,0.687,0.453,89.33,14.81,60.41,1830.3,1791.0
27,281.0,77.25,36,13.34,2.698,7.93,12.17,2.0,26.01,15.47,0.804,85.7,0.826,0.548,122.12,24.6,83.97,2291.1,1821.0
28,185.0,56.87,16,15.3,1.046,7.44,10.0,4.0,21.34,12.36,0.815,1.1,0.873,0.629,126.22,22.43,71.93,2176.8,1864.5
29,134.0,62.43,27,12.81,2.108,4.15,10.0,2.0,18.75,12.08,0.765,-45.9,0.687,0.371,91.43,8.28,52.57,1740.5,1892.6
30,153.0,50.04,10,9.22,1.085,7.54,12.17,4.0,16.02,12.99,0.585,-4.3,0.864,0.654,82.05,14.42,66.41,1795.1,1994.2
31,147.0,46.28,11,9.43,1.166,8.6,10.77,5.66,17.05,11.53,0.737,-49.8,0.955,0.612,130.78,18.88,71.15,2237.1,1991.5
32,217.0,60.28,16,15.3,1.046,9.42,12.17,6.32,24.92,11.46,0.888,-75.4,0.952,0.696,148.66,15.66,57.49,2488.5,2023.9
33,153.0,52.63,15,14.14,1.061,6.15,12.0,2.83,16.07,13.33,0.559,68.7,0.869,0.654,86.75,15.27,63.13,1724.3,2029.7
34,104.0,48.04,16,14.32,1.117,5.31,8.25,2.0,19.38,8.24,0.905,6.0,0.8,0.642,153.35,12.29,54.01,2256.6,2130.3
35,201.0,60.77,24,13.04,1.841,8.14,12.17,4.0,16.84,16.35,0.239,39.5,0.848,0.657,118.06,28.6,91.05,2290.7,2135.4
36,147.0,50.28,15,12.04,1.246,7.52,10.0,2.83,18.34,11.24,0.79,23.3,0.865,0.583,105.61,11.9,57.39,2695.7,2254.7
37,132.0,51.46,14,13.0,1.077,6.71,10.0,5.66,20.38,9.67,0.88,3.3,0.81,0.579,110.61,9.55,52.0,2474.4,2305.8
