date,mean,std,count,mean_mm,std_mm
18.10,127.6875,100.5721755755537,16,29.656164250125002,23.358472504051143
19.10,67.0,40.329889660151565,5,15.561139538,9.366851351548686
21.10,118.25,54.045505517727065,4,27.464250005500002,12.552382877061191
24.10,33.544117647058826,9.706796854780801,68,7.790816349029413,2.2544600048397547
25.10,29.03030303030303,5.883404814769439,66,6.742456660969697,1.3664549743457954
26.10,33.36363636363637,10.066909026243227,66,7.748898521636365,2.3380981503540683
27.10,36.792682926829265,9.555216796163245,82,8.545314522414634,2.2192546549393666
29.10,35.65158371040724,11.513662229499616,221,8.280287595049773,2.6741149932334882
31.10,38.23015873015873,15.274758238087845,378,8.879176635222223,3.547651408240298
3.11,37.693950177935946,17.484654467285473,281,8.754639081451959,4.060912655808124
