larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,292.0,86.67,35,25.71,1.361,7.69,13.42,2.83,30.82,16.27,0.849,-11.7,0.721,0.479,124.96,20.66,66.27,1245.5,1764.8
2,131.0,46.28,18,13.15,1.369,6.92,10.2,2.83,14.38,12.28,0.52,-6.9,0.868,0.593,121.1,18.38,69.9,1226.3,1830.0
3,296.0,72.18,28,17.49,1.601,8.28,14.14,2.0,26.33,15.93,0.796,-75.3,0.905,0.67,120.8,17.6,68.19,1198.8,1976.3
4,203.0,69.6,24,20.88,1.149,5.88,10.0,2.0,28.36,11.2,0.919,-77.2,0.796,0.558,143.3,7.69,49.85,804.7,2121.6
5,125.0,39.8,7,6.08,1.151,9.48,10.2,8.25,15.2,10.55,0.72,-11.5,0.962,0.758,132.23,18.36,66.2,1579.1,2159.6
6,131.0,44.87,9,8.94,1.006,8.26,8.94,7.21,18.24,9.31,0.86,26.9,0.936,0.642,147.02,10.7,60.98,1903.4,2182.7
7,341.0,73.6,19,19.85,0.957,11.22,16.0,5.66,27.72,16.41,0.806,25.2,0.95,0.665,128.11,23.05,74.48,1672.1,2219.7
8,119.0,38.63,6,5.0,1.2,8.89,11.31,6.32,13.18,11.72,0.457,-83.2,0.96,0.708,134.2,18.66,69.33,1932.8,2277.2
9,247.0,69.01,25,12.08,2.069,8.32,11.66,4.0,23.91,15.02,0.778,-74.3,0.867,0.572,140.66,12.7,57.35,1965.4,2295.2
10,314.0,78.08,28,24.7,1.134,9.38,12.81,2.83,30.69,13.95,0.891,-61.9,0.921,0.523,126.8,16.88,68.56,799.8,2364.5
11,338.0,87.84,34,27.78,1.224,8.87,14.56,2.83,31.96,16.14,0.863,6.8,0.768,0.537,118.78,23.05,75.7,834.1,2373.3
12,134.0,41.8,4,2.83,1.414,9.48,11.66,8.0,13.68,12.78,0.356,23.1,0.95,0.736,125.25,17.05,64.85,2002.8,2368.1
13,164.0,60.53,20,19.65,1.018,6.46,10.0,4.0,25.02,9.9,0.918,76.3,0.816,0.569,127.65,12.38,61.35,1204.7,2407.5
14,336.0,103.98,40,24.7,1.62,7.49,14.14,2.0,37.84,16.11,0.905,-46.4,0.661,0.339,132.98,14.82,48.73,1708.5,2461.4
15,278.0,71.7,24,13.04,1.841,9.34,14.42,4.0,22.21,17.99,0.586,-71.8,0.861,0.662,120.5,19.07,65.57,1268.1,2518.3
16,324.0,79.25,24,21.93,1.094,9.78,14.0,6.32,30.52,15.13,0.869,58.8,0.844,0.519,129.88,19.41,71.91,1310.3,2779.9
17,854.0,253.5,241,46.82,5.148,3.83,10.77,2.0,50.85,29.92,0.809,-15.6,0.681,0.484,18.58,3.79,8.89,2163.2,2809.1
18,5988.0,471.81,565,112.54,5.02,12.74,31.62,2.0,136.84,72.78,0.847,58.0,0.777,0.512,6.47,8.32,6.75,807.4,2935.7
