date,image_name,larva_filename,predicted_valid,valid_confidence,predicted_posture,posture_confidence,body_length_px,body_length_mm,date_idx
3.11,IMG_8061,larva_049.png,1,0.708012558416764,1.0,0.9494907875206572,57.63040543286915,13.38499672496105,9
3.11,IMG_8062,larva_052.png,1,0.9486479361483449,1.0,0.9796282348827086,59.39485167740379,13.79479962374468,9
3.11,IMG_8067,larva_055.png,1,0.7147926935377293,1.0,0.6498848614745437,54.51696283775969,12.66188158069163,9
3.11,IMG_8066,larva_057.png,1,0.7091408906925118,1.0,0.8552289130801329,58.11980195088864,13.49866191162243,9
3.11,IMG_8063,larva_058.png,1,0.8276522099597099,1.0,0.9510654258967324,57.26149243151141,13.29931453553552,9
3.11,IMG_7895,larva_027.png,1,0.712230130207469,1.0,0.9686618682933296,56.70190350615603,13.16934675417172,9
3.11,IMG_8054,larva_009.png,1,0.7728929551739984,1.0,0.8963798323352495,58.04954198202675,13.48234362536279,9
3.11,IMG_8053,larva_056.png,1,0.7624211618619566,1.0,0.8088464462690909,53.72931018714992,12.478944673175,9
3.11,IMG_8055,larva_058.png,1,0.7127339117340543,1.0,0.863378352983537,52.4419185104218,12.17994047135968,9
3.11,IMG_8052,larva_007.png,1,0.7139167693913435,1.0,0.6119569160368618,56.00359108208091,13.00715963369184,9
3.11,IMG_8052,larva_061.png,1,0.9556246329450463,1.0,0.7208392867643512,53.4509796273359,12.41430078244432,9
