larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,505.0,137.68,60,21.63,2.774,7.95,14.0,2.0,44.55,16.91,0.925,79.0,0.717,0.488,3.13,9.2,1.43,2463.4,570.9
2,165.0,147.04,65,30.15,2.156,2.62,5.66,2.0,38.92,12.48,0.947,-8.0,0.407,0.295,32.57,2.39,10.7,2141.5,580.8
3,129.0,85.3,46,10.63,4.327,2.63,4.47,2.0,20.16,11.64,0.816,-9.6,0.635,0.485,34.27,2.46,12.46,2440.2,584.0
4,305.0,146.65,71,14.56,4.876,4.07,8.49,2.0,36.89,15.23,0.911,87.5,0.626,0.424,155.64,2.34,5.17,2026.2,734.5
5,239.0,118.85,48,0,1.0,3.74,8.25,2.0,36.61,13.98,0.924,38.4,0.589,0.33,30.0,2.57,18.3,1679.6,795.1
6,132.0,48.87,13,12.37,1.051,6.85,8.49,4.0,18.21,10.28,0.826,24.5,0.846,0.564,159.64,13.55,49.64,1886.5,878.6
7,267.0,68.43,18,18.03,0.998,9.59,12.17,5.66,25.44,14.9,0.811,29.6,0.893,0.534,143.07,20.21,65.27,2711.4,886.6
8,157.0,48.97,12,10.77,1.114,7.5,10.0,2.83,18.7,11.22,0.8,5.4,0.908,0.77,149.59,20.45,63.41,1811.6,977.5
9,295.0,75.36,26,20.4,1.275,8.93,12.0,2.83,29.51,14.26,0.875,4.2,0.873,0.598,130.36,21.08,71.35,2045.3,1010.2
10,696.0,232.78,231,47.01,4.914,3.09,8.94,2.0,48.51,24.79,0.86,4.5,0.652,0.497,123.81,1.73,5.84,1699.5,1049.7
11,310.0,73.5,18,18.38,0.979,10.95,14.42,6.0,26.82,15.31,0.821,66.5,0.914,0.554,131.42,25.52,60.23,2895.2,1037.0
12,83.0,36.04,10,9.0,1.111,5.79,6.32,4.0,13.91,7.91,0.823,84.7,0.954,0.741,161.7,9.06,52.27,2604.7,1035.8
13,190.0,55.11,15,7.28,2.06,8.9,12.17,4.0,19.12,13.27,0.72,-68.7,0.918,0.714,135.37,10.9,45.74,1797.6,1046.3
14,289.0,75.94,20,19.42,1.03,9.68,13.42,7.21,30.42,13.93,0.889,-81.4,0.843,0.63,113.44,19.94,66.46,3008.1,1056.7
15,92.0,35.21,6,5.0,1.2,7.53,8.94,5.66,12.49,9.68,0.632,-74.3,0.929,0.643,153.7,16.72,60.3,2457.6,1119.9
16,239.0,71.94,27,22.2,1.216,7.58,11.66,2.83,25.69,13.84,0.843,15.2,0.784,0.604,142.04,26.34,73.28,2475.2,1164.0
17,107.0,43.11,13,13.04,0.997,6.18,8.25,2.83,17.05,8.41,0.87,53.9,0.899,0.514,161.8,10.38,52.23,2398.9,1235.0
