larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,885.0,221.91,130,19.8,6.566,7.45,16.0,2.0,69.98,19.79,0.959,-84.9,0.655,0.475,157.87,3.36,23.34,2230.2,675.1
2,5454.0,889.87,562,241.27,2.329,9.12,30.53,2.0,283.37,33.03,0.993,-64.9,0.603,0.171,145.27,10.58,12.26,2007.1,753.1
3,104.0,42.38,12,11.18,1.073,5.61,8.0,2.83,16.36,9.34,0.821,-56.8,0.912,0.578,141.7,21.52,71.23,2082.8,793.4
4,85.0,35.21,6,5.83,1.029,6.32,8.25,4.47,14.58,7.58,0.854,-33.4,0.955,0.654,134.91,23.42,74.01,2597.1,1177.4
5,156.0,50.53,15,14.56,1.03,7.07,11.66,2.83,17.03,12.4,0.686,78.5,0.891,0.619,134.37,22.66,53.93,1625.1,1355.6
6,113.0,41.46,12,9.06,1.325,7.12,8.94,4.47,16.04,9.3,0.815,-16.6,0.919,0.604,146.05,13.25,63.66,2534.3,1469.5
7,81.0,32.97,8,6.08,1.315,6.11,8.25,4.0,10.75,10.15,0.329,-4.2,0.9,0.669,129.81,23.6,81.14,2407.7,1577.4
8,99.0,37.56,9,8.06,1.116,6.75,10.0,4.0,14.12,9.57,0.735,-83.3,0.925,0.707,141.88,18.81,70.0,2755.7,1625.6
9,91.0,34.97,5,4.12,1.213,7.17,8.94,6.0,12.66,9.44,0.666,75.7,0.948,0.758,136.77,19.14,73.15,2260.9,1693.7
10,120.0,40.73,12,11.05,1.086,7.52,10.0,2.83,15.58,10.03,0.765,-85.2,0.938,0.8,131.09,19.35,62.87,2890.3,1887.4
11,92.0,34.14,6,5.0,1.2,6.64,10.0,4.0,11.45,10.51,0.396,83.9,0.958,0.767,117.78,29.46,84.54,2107.4,1992.6
12,102.0,40.63,10,9.0,1.111,6.57,8.49,4.47,14.99,9.75,0.76,2.1,0.887,0.68,127.18,27.35,73.5,2292.8,1999.3
13,104.0,45.46,9,8.06,1.116,5.74,7.21,4.0,14.59,10.46,0.697,14.1,0.819,0.578,114.83,21.12,72.77,2724.1,2046.8
14,5268.0,383.3,487,0,1.0,9.57,23.41,2.0,124.77,71.17,0.821,41.7,0.771,0.522,8.44,5.12,6.83,2112.0,2207.3
