larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,4658.0,374.27,541,54.2,9.981,9.28,26.08,2.0,119.77,59.15,0.87,-45.5,0.825,0.533,23.45,9.32,7.05,1869.0,714.1
2,229.0,69.6,26,16.55,1.571,7.25,12.81,2.83,19.11,17.08,0.449,-23.4,0.821,0.603,97.48,22.35,69.56,2267.0,741.0
3,317.0,76.43,23,14.32,1.606,10.98,14.0,6.0,26.4,16.86,0.77,-37.3,0.873,0.576,123.34,29.26,83.56,2159.3,793.1
4,254.0,71.7,20,19.42,1.03,8.45,12.0,6.0,30.89,11.61,0.927,14.4,0.867,0.605,149.75,15.94,64.32,2246.9,853.9
5,85.0,38.04,12,13.45,0.892,5.29,7.21,2.83,16.5,6.75,0.913,-40.0,0.904,0.506,143.87,19.78,70.66,2016.9,879.3
6,112.0,51.11,16,17.2,0.93,5.29,6.0,4.0,23.87,6.56,0.961,-32.7,0.806,0.393,149.9,12.55,60.0,2390.3,906.5
7,321.0,85.84,35,14.87,2.354,8.55,12.17,4.0,30.3,15.45,0.86,-86.4,0.815,0.528,120.7,23.21,80.61,2463.7,966.9
8,1155.0,183.44,70,19.42,3.605,14.13,20.0,4.47,67.82,26.48,0.921,76.7,0.748,0.52,131.95,21.65,73.62,2324.5,987.4
9,347.0,77.25,21,10.77,1.95,11.44,14.42,6.0,25.43,19.29,0.652,-87.2,0.865,0.607,108.68,25.94,92.04,2063.4,988.2
10,335.0,82.67,28,27.46,1.02,9.24,14.42,2.83,31.76,13.93,0.899,79.2,0.877,0.597,88.99,12.66,44.75,1742.5,1015.0
11,442.0,104.57,31,30.41,1.019,9.76,15.23,5.66,39.47,17.43,0.897,69.3,0.795,0.485,142.31,16.63,44.05,2800.6,1026.6
12,162.0,49.46,12,11.4,1.052,8.43,10.2,6.0,17.62,12.44,0.708,-72.3,0.915,0.635,133.83,11.75,54.33,2626.0,1041.3
13,558.0,122.47,48,39.41,1.218,10.37,15.23,2.0,45.38,17.46,0.923,-64.2,0.804,0.477,122.02,14.33,60.8,2054.0,1055.9
14,301.0,79.01,24,23.43,1.024,9.44,11.66,6.0,32.61,13.32,0.913,-53.7,0.846,0.502,150.58,16.73,65.95,2357.5,1067.9
15,120.0,40.63,4,3.61,1.109,9.13,11.31,7.21,14.1,11.11,0.616,-48.5,0.923,0.659,93.26,10.48,54.71,1785.6,1091.3
16,422.0,88.23,19,21.1,0.901,12.72,15.23,8.94,36.75,15.29,0.909,-55.4,0.953,0.492,124.36,14.2,67.77,2132.6,1117.8
17,211.0,64.87,18,17.03,1.057,8.28,10.0,6.32,28.46,10.44,0.93,3.3,0.868,0.651,112.92,11.26,54.2,1858.9,1121.8
18,458.0,92.91,28,26.63,1.052,12.12,16.49,4.0,33.94,18.4,0.84,70.0,0.925,0.631,133.77,25.75,73.05,2370.0,1152.3
19,311.0,86.67,29,29.73,0.975,8.28,12.0,4.47,36.4,12.19,0.942,26.5,0.827,0.444,125.76,10.08,58.51,2073.6,1173.1
20,215.0,65.11,26,15.81,1.644,7.51,12.0,2.83,19.62,16.31,0.556,-68.3,0.833,0.566,96.75,20.03,73.27,1849.7,1178.9
21,379.0,84.67,30,27.46,1.093,10.49,16.0,2.83,29.94,16.89,0.826,-74.3,0.918,0.643,111.09,14.06,58.7,1867.9,1225.4
22,171.0,52.28,15,11.31,1.326,8.24,11.31,4.0,18.94,12.82,0.736,53.6,0.872,0.592,136.3,14.06,62.7,2678.9,1274.1
23,227.0,69.84,25,16.64,1.502,7.74,12.65,2.83,21.79,15.09,0.721,-56.1,0.835,0.54,90.56,17.86,73.57,1627.2,1290.3
24,285.0,75.94,24,23.35,1.028,9.18,12.0,6.0,32.69,12.19,0.928,-76.9,0.888,0.613,141.74,13.47,63.64,2825.6,1309.5
25,7267.0,472.7,686,87.32,7.856,11.59,28.64,2.0,138.44,80.03,0.816,18.0,0.806,0.566,3.99,2.79,6.0,3117.4,1380.7
26,218.0,63.11,19,15.81,1.202,8.5,10.2,6.0,23.84,13.33,0.829,22.3,0.89,0.619,111.84,13.26,70.01,1898.6,1348.1
27,586.0,122.91,70,19.42,3.605,7.98,14.56,2.0,50.37,18.5,0.93,71.9,0.777,0.505,116.16,13.8,60.69,2061.6,1388.9
28,992.0,179.34,72,66.64,1.08,11.57,18.87,2.0,68.25,22.4,0.945,-53.8,0.767,0.404,135.72,21.01,45.87,2894.3,1399.5
29,111.0,66.97,29,28.28,1.025,3.88,4.47,2.0,33.99,4.25,0.992,83.1,0.81,0.496,161.16,9.74,50.83,2952.0,1381.8
30,348.0,81.6,27,24.08,1.121,10.17,14.14,4.0,29.9,15.69,0.851,-48.1,0.872,0.58,126.11,23.66,83.07,2556.4,1393.8
31,666.0,111.3,31,31.38,0.988,14.84,19.8,8.0,42.95,21.41,0.867,52.5,0.902,0.537,117.3,26.41,77.86,1562.5,1461.5
32,589.0,122.47,43,44.94,0.957,10.9,17.09,4.0,47.12,18.18,0.923,-20.9,0.801,0.484,120.64,23.83,73.81,1702.4,1471.2
33,256.0,63.6,13,11.18,1.163,9.92,15.23,4.47,20.97,16.42,0.622,-82.9,0.911,0.646,132.63,21.71,74.46,2474.4,1497.2
34,469.0,108.12,48,18.79,2.555,9.96,16.0,2.0,33.27,20.59,0.785,68.0,0.784,0.445,124.37,28.31,76.61,2878.8,1513.5
35,440.0,98.91,36,14.14,2.546,9.88,14.42,2.83,34.61,18.81,0.839,-74.4,0.782,0.591,127.17,24.45,76.73,2302.1,1564.4
36,206.0,106.27,72,28.64,2.514,3.24,6.0,2.0,25.7,15.29,0.804,-26.7,0.619,0.355,2.3,1.19,6.97,3130.8,1593.7
37,475.0,125.88,46,40.82,1.127,8.4,14.42,2.0,43.43,17.71,0.913,51.6,0.686,0.374,130.27,26.32,75.08,2292.9,1622.2
38,610.0,135.2,52,44.55,1.167,9.96,16.49,2.83,49.3,18.29,0.929,-58.9,0.799,0.385,117.46,23.75,80.64,1811.2,1630.2
39,314.0,79.11,21,20.02,1.049,10.16,12.17,8.0,33.75,13.0,0.923,1.9,0.887,0.701,138.23,19.39,70.79,2342.3,1650.3
40,300.0,79.25,27,13.93,1.938,9.11,12.0,4.0,30.41,13.77,0.892,-73.0,0.85,0.538,110.72,19.51,72.77,1885.9,1665.3
41,362.0,79.01,26,14.32,1.816,11.87,16.0,6.0,24.79,20.22,0.578,67.8,0.894,0.658,121.74,29.12,87.53,2573.7,1671.5
42,311.0,78.53,20,19.42,1.03,9.9,12.0,8.0,33.75,12.7,0.927,13.5,0.861,0.627,150.06,18.14,69.88,1578.5,1685.0
43,286.0,79.25,29,21.54,1.346,8.64,12.0,4.0,31.89,12.97,0.914,31.0,0.859,0.461,123.68,20.14,73.08,1789.6,1711.1
44,569.0,120.23,39,33.42,1.167,10.89,16.0,2.83,46.53,18.08,0.921,-67.6,0.777,0.471,118.18,19.47,65.86,2033.3,1707.5
45,372.0,93.25,38,16.97,2.239,9.38,14.0,4.0,35.81,15.22,0.905,89.0,0.777,0.593,143.49,17.7,63.59,2526.7,1759.8
46,663.0,139.88,61,42.72,1.428,10.08,18.87,2.0,46.35,21.57,0.885,-70.6,0.782,0.46,129.23,30.1,72.3,1587.6,1777.1
47,658.0,127.98,40,40.85,0.979,12.15,17.89,4.0,53.58,17.04,0.948,-20.8,0.874,0.516,133.05,13.39,54.62,2227.8,1778.6
48,483.0,103.84,39,29.83,1.307,10.69,16.0,4.0,36.68,19.16,0.853,-79.0,0.783,0.585,129.33,25.64,84.38,2581.6,1780.2
49,289.0,66.77,15,16.4,0.915,11.02,15.23,4.47,23.12,16.52,0.7,-45.1,0.929,0.657,135.96,28.5,81.03,2777.2,1826.8
50,477.0,103.25,37,34.67,1.067,10.11,16.0,2.0,38.37,17.17,0.894,66.0,0.824,0.545,104.67,22.48,57.65,1587.6,1857.6
51,198.0,54.87,11,10.77,1.021,10.12,11.66,8.0,21.53,11.97,0.831,71.5,0.93,0.66,154.93,18.13,66.41,2850.1,1851.4
52,308.0,85.15,26,25.71,1.011,8.86,12.0,4.47,34.46,12.56,0.931,-64.3,0.815,0.473,116.21,15.26,68.46,2000.9,1872.5
53,260.0,75.84,33,23.35,1.414,7.3,12.0,2.83,27.96,13.54,0.875,-25.1,0.833,0.464,101.34,14.03,69.07,1936.7,1892.5
54,319.0,81.25,22,23.85,0.922,10.18,12.17,8.0,35.11,12.53,0.934,-51.8,0.86,0.478,128.07,15.37,66.41,2223.5,1916.4
55,249.0,65.01,15,14.87,1.009,10.39,12.65,8.0,25.03,13.4,0.845,37.0,0.926,0.566,134.16,13.41,57.39,2875.7,1913.1
56,328.0,76.43,28,23.09,1.213,9.81,13.42,2.83,29.53,14.75,0.866,-20.9,0.914,0.617,132.8,17.43,71.2,2430.8,1970.7
57,305.0,83.25,32,26.42,1.211,7.05,12.65,2.0,35.53,12.32,0.938,-19.5,0.857,0.502,116.61,14.7,62.25,2009.3,1988.6
58,305.0,74.33,19,20.81,0.913,10.74,12.65,8.0,30.92,13.19,0.904,-52.3,0.921,0.495,141.07,14.13,64.4,2488.5,1994.0
59,290.0,70.28,19,17.26,1.101,10.69,14.0,8.25,27.13,14.96,0.834,89.1,0.895,0.656,139.59,23.69,81.09,2709.2,2019.6
