larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,196.0,55.11,12,8.94,1.342,10.14,12.81,6.0,17.21,15.23,0.465,-47.3,0.912,0.721,85.45,10.21,54.61,2427.5,593.0
2,274.0,68.53,17,17.46,0.973,10.26,13.42,8.0,27.84,13.26,0.879,-32.1,0.923,0.601,89.2,8.42,51.44,2184.1,639.4
3,2713.0,318.82,324,37.58,8.622,6.65,19.7,2.0,88.33,48.95,0.832,-85.1,0.771,0.586,20.99,17.48,6.05,2688.6,653.0
4,383.0,97.5,41,23.77,1.725,8.75,16.0,2.83,27.02,21.74,0.594,-78.9,0.79,0.546,86.07,9.55,53.46,2039.5,699.8
5,3361.0,402.22,156,169.03,0.923,17.26,25.61,2.83,177.88,28.68,0.987,54.2,0.791,0.225,0.25,1.04,0.71,2876.5,742.5
6,151.0,57.36,19,10.3,1.845,6.39,10.77,2.0,18.17,12.06,0.748,90.0,0.816,0.528,88.68,11.41,54.66,2013.0,707.7
7,232.0,67.6,19,20.52,0.926,8.55,10.0,4.0,26.44,11.79,0.895,44.9,0.875,0.526,91.84,8.03,53.2,2239.8,723.1
8,93.0,62.08,35,11.18,3.13,2.35,4.47,2.0,20.33,9.29,0.89,-83.0,0.616,0.47,36.96,2.45,15.83,2900.3,801.7
9,199.0,64.77,21,20.1,1.045,7.32,10.2,4.0,27.01,10.09,0.928,-9.4,0.888,0.614,111.66,9.61,45.85,2066.2,847.7
10,550.0,116.23,39,39.56,0.986,11.19,16.12,5.66,46.62,17.16,0.93,28.4,0.849,0.463,119.53,18.84,59.58,2102.2,900.6
11,805.0,162.99,89,45.22,1.968,7.9,16.12,2.0,63.4,20.19,0.948,-59.1,0.734,0.413,98.18,12.92,51.96,2313.2,903.3
12,356.0,82.43,25,21.63,1.156,9.8,14.14,2.83,29.62,16.76,0.825,42.8,0.852,0.527,99.19,17.3,64.55,2187.1,900.7
13,5352.0,1289.14,760,445.98,1.704,6.74,17.09,2.0,468.84,47.24,0.995,-33.7,0.304,0.054,144.49,7.53,16.99,1774.6,1104.4
14,542.0,113.3,32,31.95,1.001,11.95,16.0,6.32,42.19,18.63,0.897,-25.8,0.842,0.478,100.36,13.38,58.46,2317.9,951.5
15,307.0,70.28,21,19.7,1.066,10.12,14.14,2.83,25.13,16.16,0.766,61.8,0.9,0.682,101.56,14.68,65.97,2392.9,970.0
16,220.0,66.43,20,19.85,1.008,8.19,10.0,4.47,28.57,10.15,0.935,-34.6,0.917,0.458,130.63,10.36,50.72,2170.2,1004.8
17,334.0,94.47,35,27.46,1.275,7.11,11.66,2.0,38.86,12.89,0.943,-43.3,0.821,0.371,120.28,12.57,54.41,2453.3,1012.3
18,354.0,78.77,27,20.22,1.335,9.04,14.56,2.0,31.25,14.73,0.882,77.4,0.91,0.672,144.25,15.44,53.09,2034.8,1060.0
19,577.0,114.57,35,36.8,0.951,12.01,16.0,7.21,46.33,17.35,0.927,45.3,0.825,0.471,114.48,14.32,63.23,2227.8,1094.1
20,207.0,52.63,6,6.4,0.937,12.59,14.14,10.0,18.95,14.07,0.67,-47.8,0.958,0.761,137.06,16.38,60.94,2825.0,1087.8
21,422.0,98.77,38,33.24,1.143,9.61,15.23,2.83,36.93,16.65,0.893,-65.4,0.787,0.502,138.51,22.67,71.47,1993.4,1104.4
22,235.0,68.53,23,22.2,1.036,8.18,12.0,4.0,27.42,11.87,0.902,-78.1,0.89,0.599,129.47,9.3,53.79,2604.5,1133.1
23,663.0,127.05,46,43.27,1.063,12.38,16.12,4.47,52.72,17.54,0.943,61.0,0.868,0.465,119.87,13.47,57.0,3146.2,1154.0
24,355.0,93.74,28,29.73,0.942,8.86,14.14,4.0,38.95,13.56,0.937,52.0,0.818,0.395,128.07,15.02,57.81,2167.0,1158.8
25,199.0,55.11,13,12.17,1.069,9.73,12.81,8.0,21.3,12.37,0.814,13.8,0.934,0.646,137.39,23.52,73.47,1803.0,1165.2
26,409.0,91.01,26,25.96,1.001,11.42,14.14,8.94,38.81,13.89,0.934,13.6,0.934,0.668,121.48,12.24,56.35,2222.3,1179.0
27,285.0,79.84,22,21.54,1.021,8.96,11.66,7.21,33.07,12.15,0.93,-15.5,0.841,0.575,137.69,11.61,54.56,2655.3,1252.0
28,252.0,63.36,16,14.42,1.109,10.42,14.0,5.66,22.65,14.97,0.75,42.7,0.916,0.632,133.07,21.09,71.89,1874.4,1251.8
29,116.0,38.38,3,2.24,1.342,8.67,10.0,8.0,13.7,11.0,0.596,-60.0,0.975,0.744,131.83,10.51,52.17,2413.9,1257.6
30,843.0,163.74,65,64.0,1.016,11.56,18.0,4.0,69.41,17.12,0.969,85.0,0.84,0.585,117.1,14.98,62.6,3136.3,1286.8
31,547.0,139.92,44,34.79,1.265,8.93,14.56,4.0,51.05,20.81,0.913,67.5,0.669,0.424,133.48,14.75,51.19,2585.0,1309.2
32,260.0,64.18,21,12.53,1.676,10.61,13.42,6.32,20.64,17.4,0.538,-76.3,0.9,0.591,120.59,16.57,60.34,2303.4,1324.5
33,280.0,77.6,24,18.6,1.29,8.97,12.17,6.32,31.35,13.36,0.905,62.7,0.838,0.519,137.53,11.02,53.88,2669.8,1333.4
34,203.0,54.04,14,14.32,0.978,9.79,12.81,5.66,20.47,13.03,0.771,69.1,0.944,0.725,138.07,12.25,54.93,2856.3,1377.4
35,323.0,76.53,19,19.31,0.984,11.49,14.0,8.0,30.32,14.32,0.881,-18.3,0.912,0.641,133.28,12.92,60.09,2865.6,1429.4
36,197.0,56.28,12,11.18,1.073,9.9,12.0,6.32,20.4,12.99,0.771,71.3,0.921,0.691,129.79,15.91,61.21,2407.9,1427.9
37,406.0,89.5,24,18.03,1.331,9.92,16.12,2.83,32.31,17.66,0.837,23.6,0.846,0.56,118.77,9.51,50.27,2174.9,1443.0
38,204.0,62.43,16,16.4,0.976,8.48,10.0,6.32,24.71,11.03,0.895,-56.2,0.868,0.511,126.47,10.06,53.55,2053.2,1441.6
39,313.0,78.91,27,26.93,1.003,8.89,12.81,2.83,31.6,14.0,0.896,-45.2,0.889,0.466,130.97,16.53,67.2,2533.2,1449.5
40,518.0,129.05,42,40.45,1.038,9.7,12.65,6.0,54.78,15.57,0.959,75.3,0.74,0.46,118.92,10.49,52.65,2159.4,1466.6
41,322.0,107.3,52,31.05,1.675,5.81,11.66,2.0,36.22,15.37,0.905,0.6,0.697,0.474,115.74,13.76,49.92,2218.1,1478.8
42,271.0,63.94,16,17.2,0.93,10.74,15.23,2.83,23.24,15.18,0.757,-55.6,0.958,0.684,127.29,18.29,68.6,2404.9,1489.1
43,191.0,58.53,21,10.3,2.04,7.5,12.0,2.83,17.61,14.9,0.533,87.9,0.876,0.637,139.53,8.83,42.47,2635.3,1505.9
44,152.0,45.21,5,5.0,1.0,10.35,11.66,8.94,16.64,11.7,0.711,-44.0,0.962,0.776,138.89,10.55,55.11,2399.7,1580.6
45,199.0,58.87,15,14.04,1.069,9.04,11.66,6.0,23.98,10.91,0.89,-89.7,0.943,0.787,140.82,9.76,56.18,2790.0,1602.1
46,110.0,45.11,12,9.85,1.218,5.87,8.94,2.0,14.58,10.76,0.674,-50.7,0.853,0.561,89.95,7.01,47.94,1711.9,1611.0
47,409.0,101.84,33,31.4,1.051,9.36,14.56,4.0,41.04,15.24,0.928,4.4,0.775,0.582,138.13,15.82,51.41,2383.4,1664.1
48,672.0,125.88,47,39.2,1.199,8.88,16.12,2.0,52.18,17.89,0.939,-65.1,0.839,0.467,106.65,15.51,59.84,1852.2,1687.4
49,200.0,59.46,18,3.0,6.0,9.01,10.77,4.47,23.24,11.98,0.857,-89.1,0.905,0.649,92.93,7.69,51.07,1574.4,1685.8
