larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,2180.0,431.91,222,53.0,4.189,8.92,18.44,2.0,167.56,18.33,0.994,58.1,0.785,0.166,138.93,5.66,17.07,1877.5,1738.2
2,112.0,66.91,22,15.23,1.444,3.45,4.47,2.0,24.36,7.5,0.951,38.3,0.723,0.329,133.01,7.44,20.38,1948.7,1787.4
3,82.0,39.21,10,8.94,1.118,4.67,7.21,2.83,15.45,8.24,0.846,25.3,0.845,0.547,145.06,18.4,61.94,2043.4,2021.7
4,96.0,39.21,9,8.54,1.053,5.85,8.49,4.0,14.63,9.47,0.762,11.7,0.889,0.623,145.73,20.29,63.75,2051.8,2046.8
5,500.0,239.22,128,45.04,2.842,4.04,8.94,2.0,56.25,22.52,0.916,12.1,0.521,0.392,157.46,4.51,7.03,2212.0,2258.6
6,83.0,37.46,11,8.54,1.287,5.66,8.25,4.0,12.9,8.78,0.733,-33.2,0.856,0.58,121.82,29.74,87.2,1838.7,2386.3
7,121.0,47.94,11,10.05,1.095,6.19,10.0,4.0,17.68,9.94,0.827,-83.3,0.834,0.49,130.38,21.61,69.12,899.0,2582.2
8,81.0,38.63,13,13.42,0.969,5.11,7.21,2.83,16.17,7.03,0.901,-65.4,0.871,0.506,147.23,12.53,57.53,1227.9,2589.0
9,92.0,34.73,7,7.07,0.99,6.99,8.94,4.0,12.44,9.7,0.625,71.6,0.958,0.767,141.7,15.33,63.9,1219.0,2665.7
10,84.0,32.73,5,4.47,1.118,6.99,8.94,4.0,11.06,9.79,0.465,-86.3,0.933,0.764,128.9,14.88,64.04,1846.4,2691.8
11,92.0,34.97,8,7.62,1.05,6.72,10.0,2.83,11.86,10.12,0.522,65.9,0.939,0.767,134.14,13.32,59.62,2047.2,2752.9
12,6287.0,403.69,530,0,1.0,13.28,30.53,2.0,132.42,74.15,0.829,-35.1,0.826,0.533,2.07,2.92,5.75,751.6,2857.6
13,90.0,47.46,17,7.81,2.177,4.5,7.21,2.0,16.54,10.27,0.784,-88.4,0.72,0.441,112.94,19.05,65.11,1232.3,3084.4
