larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,234.0,66.87,18,13.04,1.381,8.99,14.14,4.0,20.0,16.7,0.55,13.2,0.86,0.655,87.65,21.14,82.2,2261.2,751.1
2,116.0,80.71,58,19.1,3.036,2.47,4.0,2.0,21.57,10.38,0.877,21.4,0.601,0.352,22.47,1.56,9.57,1772.9,794.1
3,279.0,69.36,27,15.3,1.765,9.78,14.42,4.0,22.04,17.03,0.635,-26.9,0.88,0.674,111.6,29.38,78.46,2161.8,812.9
4,261.0,68.53,17,15.3,1.111,9.58,12.65,7.21,26.45,13.96,0.849,0.2,0.873,0.614,140.52,21.61,73.15,2245.6,892.9
5,109.0,51.7,17,17.03,0.998,4.76,6.32,2.83,24.1,7.06,0.956,-35.0,0.779,0.401,140.5,19.04,72.72,2373.6,948.2
6,415.0,97.84,40,15.65,2.556,9.44,14.0,4.0,35.35,16.85,0.879,89.5,0.814,0.549,122.89,23.55,87.92,2444.4,984.1
7,627.0,108.43,33,24.41,1.352,14.13,18.97,4.0,39.38,21.82,0.832,82.6,0.9,0.678,122.55,27.13,73.93,2400.4,996.1
8,365.0,82.43,29,15.0,1.933,10.54,14.14,6.0,26.36,20.06,0.649,-73.9,0.841,0.61,108.73,24.59,92.36,2046.3,1005.0
9,419.0,95.01,29,25.5,1.137,10.92,14.14,6.0,36.14,17.13,0.88,29.2,0.815,0.517,134.0,26.67,81.25,2338.9,1020.8
10,90.0,46.87,18,14.32,1.257,3.92,6.0,2.0,21.89,6.65,0.953,-82.5,0.763,0.562,84.12,4.28,45.78,1719.7,1050.3
11,660.0,131.15,53,42.45,1.249,9.72,16.12,2.0,53.17,17.98,0.941,-1.5,0.789,0.586,123.97,17.72,61.18,2099.2,1091.6
12,391.0,97.74,35,34.53,1.014,8.68,14.14,2.83,38.72,15.29,0.919,72.1,0.801,0.477,137.63,20.15,66.04,2762.6,1078.5
13,304.0,89.25,31,27.17,1.141,6.58,10.77,2.0,35.96,13.64,0.925,73.0,0.772,0.5,133.04,16.41,61.96,2583.8,1087.1
14,296.0,77.84,18,20.62,0.873,9.67,11.66,6.0,33.38,12.58,0.926,-37.0,0.873,0.486,148.12,18.2,68.77,2359.7,1107.0
15,160.0,53.46,17,17.09,0.995,7.14,10.0,2.83,20.0,10.87,0.839,81.9,0.889,0.667,101.39,12.06,55.2,1797.6,1107.2
16,202.0,64.53,20,20.12,0.994,7.47,10.2,2.83,26.23,11.05,0.907,-20.0,0.831,0.549,115.33,10.78,48.83,1861.3,1150.4
17,243.0,64.53,18,17.12,1.052,9.66,12.65,4.0,23.51,14.16,0.798,-71.8,0.893,0.65,115.24,18.44,71.53,2109.9,1156.0
18,450.0,88.91,28,13.0,2.154,12.49,17.89,8.0,27.62,23.12,0.547,75.3,0.891,0.595,126.84,28.69,80.3,2442.8,1198.4
19,315.0,81.01,26,25.02,1.039,9.02,12.65,4.0,32.27,13.9,0.902,10.8,0.861,0.561,119.33,12.74,60.57,2079.1,1219.5
20,357.0,92.08,37,31.76,1.165,8.78,13.42,4.0,35.88,13.85,0.922,-74.3,0.842,0.51,108.97,14.13,66.14,1835.7,1216.1
21,279.0,61.46,8,8.6,0.93,13.7,16.0,10.77,21.58,16.64,0.637,-59.3,0.955,0.782,109.39,20.29,69.61,1936.0,1211.8
22,286.0,84.08,34,26.91,1.264,7.23,11.66,2.83,31.53,13.34,0.906,-58.8,0.819,0.414,95.62,14.84,68.27,1643.8,1300.5
23,138.0,44.38,9,8.06,1.116,7.36,8.25,6.0,16.89,11.13,0.752,-78.8,0.939,0.719,135.65,11.99,62.35,2691.4,1311.9
24,7631.0,1348.36,1002,467.02,2.146,8.36,30.0,2.0,532.54,44.31,0.997,1.2,0.387,0.282,145.14,11.64,16.96,1495.4,1515.6
25,183.0,54.53,17,8.94,1.901,8.8,10.77,5.66,18.0,14.5,0.593,5.7,0.888,0.567,112.05,14.7,69.48,1904.6,1349.6
26,285.0,79.36,24,22.14,1.084,8.87,12.0,8.0,34.11,12.19,0.934,79.1,0.846,0.633,139.2,14.35,62.8,2812.6,1344.2
27,542.0,118.81,36,32.57,1.105,11.28,14.0,6.32,47.57,17.25,0.932,73.6,0.797,0.56,121.13,12.41,53.49,2104.7,1361.1
28,567.0,116.12,40,41.68,0.96,11.03,16.12,5.66,47.83,16.64,0.938,-52.6,0.851,0.44,119.0,18.56,69.49,1777.9,1421.5
29,351.0,83.84,29,24.76,1.171,9.92,14.14,4.0,29.91,15.91,0.847,-51.1,0.846,0.562,132.36,20.5,75.02,2557.0,1437.6
30,102.0,48.63,23,13.0,1.769,3.72,7.21,2.0,14.72,10.16,0.723,83.3,0.843,0.708,162.97,6.82,47.03,2455.6,1443.2
31,636.0,109.88,34,36.07,0.943,13.4,19.8,2.83,40.66,21.28,0.852,42.1,0.896,0.55,118.08,27.9,76.87,1601.0,1508.7
32,284.0,70.18,21,14.32,1.467,9.68,14.14,4.0,22.23,17.65,0.608,50.8,0.888,0.615,140.0,16.1,65.0,2470.9,1535.9
33,471.0,97.5,29,28.02,1.035,10.99,14.56,6.0,37.49,18.39,0.871,81.3,0.841,0.563,121.52,25.6,83.93,2855.2,1540.1
34,466.0,104.67,39,33.12,1.178,10.17,16.0,4.0,37.86,18.48,0.873,83.1,0.774,0.614,126.9,27.34,77.68,2314.4,1609.8
35,358.0,84.43,33,14.0,2.357,10.87,16.97,4.0,22.69,21.61,0.304,30.8,0.871,0.649,107.98,31.8,96.06,1829.0,1622.4
36,395.0,88.77,32,26.93,1.188,10.1,14.14,4.47,31.77,18.48,0.813,48.3,0.837,0.588,120.39,29.49,89.25,2292.8,1660.5
37,313.0,84.87,30,27.31,1.098,8.87,12.0,5.66,35.11,12.98,0.929,-11.7,0.835,0.575,145.61,22.24,72.36,1579.0,1669.9
38,356.0,90.67,37,24.21,1.528,8.76,13.42,4.0,34.03,14.47,0.905,72.1,0.817,0.524,114.14,17.54,70.19,1866.0,1674.8
39,339.0,80.67,34,20.02,1.698,9.83,14.56,5.66,23.29,21.48,0.386,-9.5,0.839,0.546,113.34,32.29,98.42,2576.9,1690.8
40,264.0,68.63,17,16.28,1.044,9.63,12.0,8.0,30.49,11.41,0.927,-9.3,0.967,0.759,135.32,17.48,69.07,2342.7,1697.5
41,3917.0,351.5,361,31.76,11.365,11.37,28.07,2.0,101.85,55.95,0.836,77.8,0.814,0.645,18.54,7.36,7.41,1410.8,1720.5
42,285.0,78.67,25,23.02,1.086,8.52,11.66,4.0,32.0,13.23,0.91,40.2,0.826,0.438,126.92,20.88,73.77,1783.1,1725.4
43,514.0,117.2,42,34.21,1.228,9.62,15.62,2.83,45.21,17.45,0.923,-53.3,0.774,0.408,121.48,19.21,65.89,2054.7,1744.0
44,836.0,168.95,78,17.03,4.58,10.74,18.44,2.0,56.88,21.27,0.927,83.7,0.801,0.522,130.76,31.1,89.4,1631.6,1798.0
45,431.0,109.64,50,26.08,1.917,9.1,15.23,2.0,31.6,20.2,0.769,-64.6,0.752,0.479,121.64,27.3,87.78,2596.9,1804.8
46,318.0,82.33,29,24.6,1.179,7.81,12.81,2.0,34.92,12.83,0.93,57.5,0.881,0.439,143.14,18.8,65.47,2551.5,1816.4
47,520.0,114.81,43,41.88,1.027,9.66,16.12,2.83,43.27,17.34,0.916,50.7,0.795,0.417,110.95,24.12,57.7,1567.2,1861.2
48,741.0,131.5,43,43.97,0.978,12.78,18.0,4.0,55.9,17.85,0.948,-16.4,0.929,0.572,127.88,14.3,62.39,2235.7,1865.7
49,349.0,76.43,25,24.74,1.011,10.56,16.0,4.0,29.31,15.58,0.847,-14.3,0.918,0.625,135.45,24.01,80.66,2776.4,1859.5
50,300.0,84.91,35,12.21,2.867,7.86,12.0,4.0,33.76,12.88,0.924,-78.6,0.813,0.49,119.1,16.28,65.78,2009.2,1888.9
51,320.0,95.05,41,27.86,1.472,6.34,12.65,2.0,33.96,14.15,0.909,-38.9,0.79,0.369,103.5,13.58,64.31,1930.1,1902.0
52,276.0,72.28,24,24.35,0.986,9.31,12.17,2.83,29.89,12.16,0.914,75.1,0.92,0.657,153.11,11.61,46.41,2883.8,1897.6
53,279.0,80.53,27,26.0,1.038,8.29,10.0,6.0,35.68,10.65,0.954,-84.8,0.823,0.65,137.47,12.22,57.22,2241.7,1932.8
54,246.0,64.77,19,18.03,1.054,9.75,12.65,4.0,24.75,13.29,0.844,64.9,0.904,0.594,129.13,14.38,60.15,2884.6,1957.4
55,292.0,83.25,32,24.52,1.305,7.94,11.66,4.0,35.1,12.19,0.938,-23.9,0.82,0.487,117.87,15.4,64.18,2000.8,2008.4
56,265.0,63.94,11,10.77,1.021,10.79,14.0,4.47,21.46,16.36,0.647,13.8,0.917,0.701,127.28,22.49,73.73,2422.5,2010.0
57,716.0,126.57,47,33.6,1.399,12.81,18.44,6.0,48.43,20.64,0.905,69.8,0.838,0.537,109.59,18.57,74.8,2166.3,2036.9
58,280.0,68.28,20,19.03,1.051,9.95,12.0,2.83,26.86,13.79,0.858,-81.7,0.921,0.718,139.82,15.72,66.09,2472.0,2033.1
