larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,608.0,115.64,35,31.02,1.128,12.93,17.09,6.0,44.54,19.75,0.896,-42.2,0.816,0.483,104.54,22.58,82.44,2447.0,767.0
2,327.0,84.18,27,26.08,1.035,9.28,12.0,6.0,33.93,13.46,0.918,4.6,0.854,0.619,128.9,16.14,53.97,2552.1,783.0
3,269.0,68.91,21,14.32,1.467,9.74,14.56,5.66,21.14,17.95,0.528,-10.6,0.871,0.532,135.99,21.94,73.01,2538.0,886.6
4,281.0,71.36,30,21.21,1.414,9.36,12.81,4.0,25.26,15.12,0.801,-8.0,0.892,0.636,120.74,20.71,76.84,2339.1,920.0
5,457.0,109.05,84,35.47,2.368,3.6,10.77,2.0,44.21,15.31,0.938,-25.0,0.788,0.446,92.16,9.47,55.86,1955.2,992.4
6,334.0,76.18,19,18.38,1.033,11.12,16.0,7.21,27.13,17.09,0.776,-31.2,0.891,0.612,110.75,14.3,65.63,3043.1,981.5
7,610.0,125.74,72,21.02,3.425,9.38,16.12,2.83,49.45,18.17,0.93,-87.0,0.786,0.489,129.53,22.43,76.45,2621.1,1000.9
8,222.0,67.94,23,22.67,1.014,7.62,10.0,4.0,28.63,10.79,0.926,-32.2,0.847,0.505,98.98,9.07,56.07,2018.2,1015.9
9,453.0,111.15,37,24.21,1.528,9.52,13.42,5.66,45.94,16.05,0.937,-50.5,0.773,0.411,119.37,13.52,63.08,3015.9,1038.7
10,432.0,92.57,31,21.59,1.436,11.78,15.62,4.0,32.52,18.83,0.815,-39.5,0.871,0.554,122.35,19.54,79.2,2407.7,1078.5
11,722.0,135.68,46,43.27,1.063,12.35,17.89,4.0,53.69,19.62,0.931,49.7,0.841,0.409,124.05,18.06,64.78,2373.1,1141.1
12,317.0,75.36,19,18.68,1.017,11.14,14.0,8.94,31.25,13.2,0.906,-12.5,0.906,0.639,132.5,13.6,62.26,2489.8,1168.3
13,4913.0,487.32,212,212.42,0.998,21.57,25.3,2.83,234.07,29.76,0.992,-9.2,0.815,0.406,0.14,0.54,0.36,1433.9,1312.5
14,170.0,47.7,6,5.1,1.177,10.5,12.81,8.25,16.93,12.98,0.642,-82.7,0.95,0.675,130.88,21.56,72.12,2341.9,1231.1
15,576.0,118.91,51,34.93,1.46,10.79,18.0,2.83,39.22,20.99,0.845,2.8,0.818,0.568,110.27,14.12,62.27,2149.9,1288.3
16,219.0,66.53,26,11.0,2.364,7.51,11.66,2.0,23.84,12.91,0.841,78.4,0.833,0.595,126.21,20.08,77.8,2503.7,1304.8
17,270.0,63.46,13,10.82,1.202,12.36,14.56,8.94,20.88,16.97,0.582,46.2,0.925,0.75,122.87,34.75,98.74,1614.1,1316.7
18,264.0,66.53,17,17.2,0.988,9.77,13.42,2.83,23.64,15.04,0.771,20.0,0.917,0.698,110.81,15.54,64.51,2127.6,1352.5
19,273.0,67.84,23,13.89,1.656,9.65,15.23,4.47,22.59,16.31,0.692,-68.7,0.901,0.632,124.37,23.97,84.58,2657.0,1355.3
20,199.0,56.63,13,12.0,1.083,9.65,12.0,6.32,21.37,12.48,0.812,-86.8,0.917,0.729,125.27,16.66,69.62,1772.0,1356.3
21,391.0,83.84,31,20.12,1.54,10.8,17.89,4.0,27.72,19.86,0.698,-76.0,0.857,0.582,127.08,26.66,86.17,2882.8,1362.3
22,714.0,133.54,68,16.16,4.209,11.73,20.0,2.0,43.93,22.15,0.864,-79.7,0.835,0.595,110.54,24.98,62.84,1559.3,1366.7
23,612.0,117.3,36,36.25,0.993,12.78,16.12,6.32,50.32,16.23,0.947,-22.6,0.932,0.501,134.48,20.32,78.8,2788.2,1384.2
24,285.0,76.87,26,4.0,6.5,9.02,10.77,6.0,33.79,11.78,0.937,-84.2,0.866,0.679,152.81,12.15,54.73,2996.9,1370.9
25,205.0,52.63,12,9.22,1.302,11.36,14.0,8.0,17.33,15.39,0.459,74.9,0.945,0.754,137.33,20.29,73.85,2908.8,1389.9
26,226.0,63.94,19,19.42,0.979,8.33,12.65,2.83,26.18,11.99,0.889,26.5,0.93,0.554,150.21,13.14,65.38,2962.5,1459.3
27,435.0,105.3,36,31.02,1.161,9.76,14.14,4.0,40.3,15.9,0.919,36.9,0.815,0.457,130.24,21.14,77.57,2688.9,1492.7
28,501.0,117.64,45,9.22,4.881,9.07,14.42,4.0,46.46,15.94,0.939,79.9,0.807,0.519,136.9,21.26,73.66,2923.3,1491.5
29,320.0,120.61,53,33.97,1.56,6.23,11.66,2.0,42.34,13.08,0.951,61.5,0.696,0.327,111.6,17.88,73.02,1749.8,1516.9
30,336.0,85.36,28,25.24,1.109,9.24,12.65,5.66,35.36,13.95,0.919,22.7,0.836,0.552,129.94,17.01,69.03,2374.2,1517.2
31,839.0,155.64,68,53.04,1.282,11.78,18.11,2.0,59.43,20.98,0.936,-7.8,0.841,0.508,115.85,16.88,69.74,1697.7,1538.3
32,239.0,63.11,13,12.81,1.015,10.24,13.42,6.0,22.73,13.93,0.79,-62.9,0.912,0.669,127.62,22.35,77.46,2844.7,1525.3
33,219.0,65.46,22,19.7,1.117,7.79,11.66,2.83,26.66,11.62,0.9,4.7,0.869,0.652,135.17,12.65,63.43,2352.7,1538.1
34,243.0,68.28,21,21.1,0.995,8.44,11.66,6.0,29.38,11.43,0.921,64.9,0.91,0.572,144.54,12.06,64.6,2764.8,1548.1
35,257.0,84.91,50,20.25,2.469,6.53,12.81,2.0,23.24,16.54,0.703,-22.8,0.788,0.564,102.81,11.7,67.11,1848.6,1569.0
36,401.0,219.71,156,38.59,4.043,2.79,5.66,2.0,56.29,22.17,0.919,56.2,0.448,0.258,31.48,3.53,14.18,3119.2,1581.3
37,516.0,150.51,52,29.83,1.743,7.13,16.49,2.0,47.38,20.62,0.9,55.5,0.623,0.41,91.88,15.16,72.82,1863.3,1617.8
38,254.0,70.67,33,17.03,1.938,8.36,14.14,2.83,19.82,18.43,0.368,-5.3,0.836,0.502,114.71,24.13,89.85,2618.0,1608.7
39,82.0,62.91,21,9.43,2.226,3.39,4.47,2.0,20.61,7.19,0.937,-64.6,0.651,0.38,31.93,3.35,18.57,3115.8,1613.1
40,166.0,55.11,20,16.12,1.24,5.99,10.2,2.0,20.6,10.74,0.853,79.1,0.878,0.659,105.71,17.46,51.78,1519.7,1615.5
41,183.0,57.11,16,15.62,1.024,8.1,10.0,6.0,23.13,11.12,0.877,42.1,0.867,0.535,137.26,13.31,65.01,2547.5,1646.0
42,284.0,75.94,29,22.67,1.279,8.45,12.0,4.0,27.5,14.6,0.847,-69.3,0.826,0.563,132.5,17.32,70.15,2338.7,1687.5
43,557.0,133.78,61,19.03,3.206,9.6,17.09,2.0,34.75,23.96,0.724,-73.3,0.749,0.589,122.02,22.77,69.39,2452.5,1702.7
44,332.0,78.43,22,14.42,1.525,11.06,14.56,6.0,27.44,17.38,0.774,-51.2,0.871,0.576,123.66,21.45,79.44,2338.6,1716.9
45,287.0,80.77,30,29.15,1.029,7.88,11.66,2.83,34.39,11.85,0.939,-20.1,0.834,0.495,136.31,16.64,68.4,2347.8,1738.8
46,457.0,104.23,56,22.36,2.504,9.25,17.09,2.0,31.19,21.04,0.738,-63.7,0.796,0.571,121.96,25.17,82.53,2294.5,1742.8
47,555.0,106.91,35,25.61,1.367,12.25,17.2,6.32,39.52,20.62,0.853,11.4,0.823,0.617,121.9,31.18,96.77,2904.1,1812.4
48,787.0,145.58,88,47.01,1.872,9.23,17.2,2.0,56.92,21.69,0.925,-43.3,0.782,0.38,128.31,22.6,79.29,2471.0,1820.9
49,262.0,74.18,22,19.21,1.145,8.4,12.0,6.0,29.91,13.22,0.897,31.9,0.834,0.496,128.72,17.62,69.78,2131.4,1811.3
50,221.0,127.58,83,14.87,5.583,2.84,6.32,2.0,28.6,15.21,0.847,84.1,0.616,0.433,29.57,2.92,16.94,3103.8,1826.2
51,95.0,76.81,39,19.42,2.009,2.66,4.47,2.0,21.74,10.63,0.872,3.6,0.54,0.36,27.29,3.62,16.75,3130.3,1851.3
52,652.0,113.74,39,14.87,2.623,13.79,18.0,6.0,41.46,21.95,0.848,-84.4,0.86,0.652,125.75,22.62,77.68,2226.7,1870.9
53,371.0,84.67,26,15.52,1.675,10.98,15.23,2.83,30.0,17.36,0.815,22.6,0.849,0.576,122.33,23.86,82.14,2690.2,1878.9
54,305.0,78.18,24,22.8,1.052,9.13,12.65,4.0,31.72,13.78,0.901,-30.9,0.854,0.51,137.66,17.54,71.22,2533.2,1898.3
55,317.0,86.08,44,16.12,2.729,8.34,12.65,2.0,26.37,17.47,0.749,78.6,0.794,0.534,129.42,19.32,86.01,2415.9,1927.2
56,454.0,139.44,61,38.29,1.593,6.98,14.14,2.0,47.46,15.48,0.945,54.7,0.752,0.382,91.02,10.52,53.9,1716.6,1973.0
57,412.0,88.33,30,23.41,1.282,11.27,15.23,5.66,33.87,17.27,0.86,25.4,0.857,0.52,134.33,20.52,82.75,2535.4,2014.4
58,218.0,67.11,20,19.24,1.04,7.75,10.2,6.0,28.62,11.23,0.92,-61.5,0.842,0.505,146.71,14.61,67.98,2429.9,2023.7
59,380.0,76.77,26,23.02,1.129,11.97,18.0,4.0,26.63,18.62,0.715,-9.7,0.938,0.714,131.03,25.04,73.02,2378.6,2040.1
60,594.0,119.54,52,32.2,1.615,11.03,17.89,2.0,46.05,18.68,0.914,-57.6,0.826,0.453,121.03,26.53,67.59,1875.1,2064.0
61,437.0,103.15,37,31.24,1.184,9.68,14.0,4.0,40.91,15.65,0.924,-60.8,0.768,0.427,128.1,18.98,61.16,2732.4,2077.0
62,83.0,75.4,25,8.54,2.926,2.65,4.0,2.0,18.42,11.55,0.779,-79.3,0.58,0.364,36.37,2.66,14.63,2815.1,2091.7
63,383.0,91.15,26,23.6,1.102,11.16,14.42,4.0,32.35,17.14,0.848,44.6,0.833,0.525,122.23,26.66,96.07,2300.9,2114.2
64,80.0,31.56,4,3.61,1.109,7.25,8.25,6.32,12.52,8.11,0.762,-25.5,0.952,0.741,141.68,16.4,47.98,2382.9,2208.7
65,278.0,73.25,22,20.25,1.087,9.19,12.65,5.66,28.48,14.22,0.866,-48.5,0.855,0.505,131.12,13.67,52.92,2410.5,2215.7
