larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,336.0,87.74,32,19.31,1.657,9.24,16.0,2.0,24.71,19.08,0.635,-4.5,0.824,0.522,114.73,28.13,88.14,2242.2,781.8
2,614.0,109.15,40,20.88,1.916,13.33,18.0,6.0,37.21,23.31,0.78,70.3,0.866,0.627,115.05,23.15,64.45,2033.5,784.8
3,503.0,100.81,45,19.0,2.368,11.8,18.44,2.83,27.87,25.73,0.385,-34.4,0.864,0.524,109.44,28.21,97.32,2406.4,819.4
4,2849.0,433.47,316,110.6,2.857,9.38,26.0,2.0,92.81,47.75,0.858,84.0,0.701,0.449,47.13,9.56,11.2,2926.5,850.3
5,316.0,74.77,20,21.21,0.943,10.2,14.0,4.47,28.79,14.31,0.868,-46.2,0.911,0.597,136.97,16.45,67.18,2472.2,895.2
6,1029.0,195.82,93,25.02,3.717,11.44,16.49,4.0,67.23,26.71,0.918,85.6,0.644,0.496,116.79,22.18,85.81,2499.0,948.9
7,642.0,167.62,60,63.41,0.946,8.68,14.42,2.83,70.07,14.47,0.978,-44.9,0.77,0.212,116.12,16.14,68.83,2924.6,1012.6
8,190.0,55.7,15,9.22,1.627,8.96,10.0,6.0,21.45,12.13,0.825,-67.4,0.888,0.603,130.53,14.19,58.83,2507.0,1013.1
9,201.0,54.53,12,9.06,1.325,10.9,14.0,6.32,17.87,14.78,0.562,-0.7,0.931,0.67,132.61,17.43,66.37,2388.4,1026.6
10,710.0,143.44,89,44.55,1.998,8.6,17.09,2.0,57.16,20.85,0.931,61.8,0.759,0.394,116.98,20.51,74.76,2291.2,1034.1
11,529.0,115.98,75,36.07,2.079,7.58,16.12,2.0,46.77,17.98,0.923,-59.0,0.794,0.421,102.14,14.85,60.94,1916.7,1040.8
12,100.0,38.63,11,8.06,1.364,6.37,8.25,4.0,13.46,10.26,0.648,-68.4,0.943,0.699,106.02,12.04,58.56,1932.3,1053.0
13,223.0,60.43,20,13.89,1.44,9.18,11.66,4.0,23.24,12.84,0.834,-55.4,0.933,0.533,133.08,17.39,68.45,2405.3,1115.3
14,133.0,44.28,8,6.71,1.193,7.9,8.94,6.32,15.66,11.45,0.682,36.1,0.893,0.591,139.5,31.29,72.67,1712.4,1144.5
15,546.0,105.98,50,25.5,1.961,10.28,18.11,2.0,31.53,24.38,0.634,14.7,0.821,0.557,110.92,18.69,58.59,2161.9,1186.2
16,253.0,69.84,21,20.52,1.023,8.72,12.65,2.83,24.54,13.95,0.823,54.0,0.841,0.575,132.94,20.17,73.48,2618.9,1260.9
17,289.0,72.77,20,19.42,1.03,9.83,12.0,6.32,29.0,13.83,0.879,-16.6,0.895,0.586,142.42,17.07,71.75,2843.9,1289.5
18,300.0,68.77,17,17.89,0.95,11.52,15.23,8.0,26.52,14.9,0.827,-34.1,0.94,0.652,145.78,13.51,47.36,2976.3,1373.6
19,698.0,146.02,56,28.44,1.969,11.24,17.89,2.83,43.38,23.94,0.834,-40.8,0.763,0.447,122.98,27.4,82.72,2764.5,1385.0
20,446.0,102.33,50,17.09,2.926,9.5,14.14,2.83,34.16,18.87,0.834,-78.4,0.812,0.57,112.39,23.04,83.85,3014.7,1402.0
21,274.0,73.01,25,17.09,1.463,9.12,12.0,5.66,28.21,13.87,0.871,30.3,0.87,0.522,107.1,12.96,61.19,1973.9,1404.2
22,283.0,78.91,24,23.32,1.029,6.73,10.77,2.0,34.61,11.11,0.947,-59.2,0.91,0.429,118.42,9.48,54.32,1893.5,1404.3
23,341.0,87.94,31,28.64,1.083,8.85,12.65,4.0,38.33,12.71,0.943,77.1,0.838,0.557,138.03,14.14,60.87,2418.5,1431.9
24,474.0,99.64,34,34.13,0.996,11.15,15.23,5.66,41.44,16.32,0.919,-48.8,0.876,0.47,132.45,19.21,72.74,2594.8,1462.9
25,212.0,64.04,20,17.72,1.129,8.12,10.77,6.0,26.32,11.83,0.893,-8.6,0.862,0.658,144.24,9.46,55.76,2870.5,1486.3
26,167.0,46.38,3,2.83,1.061,11.55,12.65,10.0,16.17,13.37,0.563,38.1,0.96,0.795,138.67,14.67,66.33,2733.2,1484.6
27,349.0,95.15,29,31.62,0.917,8.24,12.81,2.0,39.32,12.76,0.946,-60.4,0.812,0.38,138.08,17.29,68.19,2751.4,1493.9
28,668.0,117.98,35,32.45,1.079,14.02,18.44,7.21,43.55,22.55,0.855,46.3,0.838,0.517,119.57,19.76,72.42,2622.4,1547.6
29,341.0,88.08,30,16.16,1.857,9.36,15.23,2.83,26.65,18.3,0.727,-46.5,0.804,0.549,120.89,20.72,81.07,2516.7,1550.9
30,264.0,65.94,20,16.03,1.248,9.57,14.56,2.83,21.57,16.58,0.639,-15.8,0.895,0.638,123.16,23.06,79.34,2330.3,1555.2
31,211.0,60.77,28,0,1.0,6.13,10.0,2.83,18.49,16.55,0.446,68.9,0.827,0.558,98.18,14.35,68.36,1909.3,1562.4
32,239.0,65.84,19,16.64,1.142,9.03,11.66,5.66,24.13,14.02,0.814,40.1,0.885,0.543,112.73,12.01,60.3,1777.1,1566.2
33,234.0,69.25,17,15.81,1.075,9.1,10.2,5.66,24.33,13.5,0.832,89.2,0.848,0.65,100.6,10.55,60.23,1487.3,1567.0
34,269.0,77.11,26,25.08,1.037,8.38,10.77,2.83,32.91,11.53,0.937,89.4,0.862,0.701,139.99,12.01,61.17,2529.7,1595.0
35,245.0,75.01,28,21.84,1.282,7.65,12.65,2.0,22.15,15.84,0.699,15.1,0.79,0.544,98.75,17.82,63.22,1519.3,1613.5
36,424.0,98.57,53,27.0,1.963,7.56,12.0,2.0,37.74,16.44,0.9,13.4,0.822,0.521,102.27,15.31,67.15,1805.0,1626.4
37,153.0,102.37,46,17.46,2.634,2.88,5.66,2.0,29.5,13.17,0.895,-39.2,0.519,0.277,31.65,2.88,22.47,3089.8,1642.4
38,6570.0,430.32,759,89.07,8.522,9.16,26.83,2.0,144.17,71.52,0.868,48.3,0.82,0.52,30.3,12.05,11.47,3144.2,1720.6
39,82.0,40.97,14,13.6,1.029,4.82,6.32,2.83,17.82,6.24,0.937,-69.1,0.872,0.603,134.01,16.62,69.71,2519.9,1676.6
40,486.0,116.57,52,34.13,1.523,9.15,14.56,4.0,42.67,16.4,0.923,-14.2,0.769,0.494,136.34,14.91,67.66,2355.8,1695.5
41,441.0,97.74,28,26.08,1.074,10.81,16.0,4.0,36.17,17.34,0.878,17.8,0.821,0.533,122.24,22.13,79.72,2424.4,1700.2
42,544.0,120.71,54,30.23,1.786,9.64,15.62,2.83,38.73,20.65,0.846,-47.6,0.775,0.515,120.32,26.54,88.94,2226.7,1713.1
43,508.0,107.05,34,35.34,0.962,11.15,14.42,4.0,40.69,17.18,0.906,-62.4,0.851,0.514,99.13,10.52,59.97,1798.1,1736.4
44,167.0,45.56,3,2.0,1.5,12.69,13.42,12.0,15.17,14.12,0.365,-66.7,0.971,0.852,126.63,20.98,74.37,2357.5,1738.9
45,747.0,128.37,42,41.76,1.006,13.48,17.89,6.0,51.47,20.77,0.915,-29.0,0.855,0.486,127.08,19.61,68.18,2634.3,1781.3
46,719.0,130.61,49,0,1.0,9.18,16.97,2.0,55.01,17.3,0.949,61.0,0.909,0.445,116.99,11.89,55.01,1896.3,1783.8
47,609.0,123.54,58,31.02,1.87,11.14,18.87,2.83,32.82,26.78,0.578,-61.6,0.789,0.498,119.4,27.2,65.02,2424.5,1832.8
48,570.0,115.25,41,37.34,1.098,11.39,15.23,5.66,47.33,17.23,0.931,81.6,0.853,0.576,122.66,21.62,79.22,2715.5,1829.2
49,355.0,97.98,34,22.0,1.545,8.16,11.66,2.83,32.5,17.16,0.849,-26.9,0.772,0.514,93.0,12.66,56.94,1609.0,1847.1
50,355.0,91.84,45,15.13,2.974,8.92,14.14,2.83,27.64,18.78,0.734,-87.9,0.8,0.532,125.71,22.81,82.86,2524.2,1845.4
51,268.0,68.18,22,19.1,1.152,9.79,13.42,6.0,25.11,14.6,0.814,-12.3,0.902,0.573,133.95,22.39,77.03,2231.3,1861.5
52,323.0,78.67,24,22.8,1.052,10.13,12.81,5.66,32.32,14.13,0.899,-41.5,0.89,0.497,136.46,18.61,73.19,2500.1,1888.5
53,344.0,86.67,22,17.03,1.292,10.87,14.42,8.0,30.61,16.17,0.849,59.9,0.829,0.558,126.53,25.09,82.83,2708.2,1937.4
54,716.0,148.51,72,42.94,1.677,8.8,17.2,2.0,56.76,20.6,0.932,-45.0,0.725,0.37,139.95,22.23,63.38,2365.7,1981.3
55,186.0,55.7,18,10.0,1.8,8.68,11.31,5.66,18.52,14.15,0.645,-68.1,0.894,0.612,141.66,18.62,71.3,2436.7,1968.1
56,407.0,88.53,29,23.32,1.243,10.93,15.23,6.0,34.12,16.95,0.868,71.0,0.853,0.625,129.08,20.99,82.85,2557.1,1975.7
57,316.0,84.67,29,20.62,1.407,8.39,15.23,2.83,23.99,18.94,0.614,42.4,0.804,0.572,125.84,33.23,90.91,2332.4,2079.6
58,126.0,79.98,31,24.08,1.287,3.36,8.0,2.0,28.47,9.02,0.948,52.0,0.606,0.286,0.1,0.29,1.89,1685.4,2106.2
59,213.0,62.18,17,15.62,1.088,8.65,10.77,5.66,24.86,12.06,0.874,-36.4,0.903,0.507,117.46,10.42,53.54,2426.1,2211.4
60,328.0,82.77,27,19.92,1.355,9.0,15.23,4.0,23.23,20.29,0.487,89.0,0.82,0.621,101.49,12.78,66.43,2593.1,2313.3
