larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,1533.0,522.1,345,107.56,3.207,4.06,12.0,2.0,167.46,17.85,0.994,-83.0,0.481,0.268,160.16,4.32,21.83,2347.4,676.2
2,95.0,56.77,21,21.63,0.971,4.09,4.47,2.83,27.63,5.53,0.98,-63.3,0.714,0.288,154.37,9.51,40.58,2668.7,732.9
3,378.0,87.5,26,28.65,0.907,10.36,14.14,4.0,35.6,14.85,0.909,29.2,0.869,0.521,144.92,29.48,74.86,2533.2,767.3
4,160.0,49.46,10,7.81,1.28,8.46,12.65,4.0,14.97,14.29,0.298,40.9,0.904,0.714,136.26,11.82,40.74,2784.3,759.2
5,544.0,140.61,50,48.1,1.039,8.7,16.12,2.0,54.26,16.96,0.95,-29.3,0.755,0.308,133.85,29.64,72.75,2160.0,815.4
6,313.0,73.01,19,18.68,1.017,11.09,14.14,6.0,27.53,14.94,0.84,-17.5,0.905,0.644,137.94,20.73,51.22,2817.1,810.5
7,281.0,77.5,22,23.85,0.922,8.89,12.17,5.66,32.19,12.16,0.926,-50.7,0.849,0.473,99.28,12.29,53.12,1815.1,861.1
8,747.0,171.92,58,37.66,1.54,10.08,14.56,2.0,46.55,28.87,0.784,-17.1,0.747,0.514,138.52,24.55,68.75,2770.8,913.0
9,307.0,79.94,30,23.35,1.285,9.3,13.42,4.0,32.16,13.74,0.904,-4.8,0.882,0.619,144.98,17.53,60.87,2914.3,946.2
10,333.0,78.18,24,16.12,1.488,11.05,14.56,6.32,23.45,19.77,0.538,37.7,0.863,0.688,134.67,30.35,80.46,2328.6,1022.1
11,192.0,53.7,12,11.7,1.025,9.32,12.0,5.66,21.33,11.61,0.839,20.7,0.941,0.653,163.87,14.14,52.23,2520.1,1050.8
12,199.0,68.18,29,17.49,1.658,6.65,12.0,2.0,19.01,16.46,0.5,34.0,0.765,0.498,97.57,12.14,50.09,1855.3,1067.9
13,2427.0,346.29,139,142.44,0.976,15.07,25.3,2.83,153.89,25.65,0.986,-16.1,0.753,0.307,0.34,2.05,0.51,1476.0,1201.9
14,241.0,67.01,18,20.81,0.865,8.8,11.66,2.83,28.03,11.32,0.915,56.3,0.941,0.529,167.73,11.07,48.96,2423.6,1149.8
15,426.0,99.4,38,32.65,1.164,9.98,14.42,2.83,40.53,14.9,0.93,58.6,0.901,0.423,150.77,24.7,68.79,2488.4,1154.8
16,309.0,78.53,25,24.35,1.027,9.51,13.42,4.0,31.56,13.46,0.904,-10.8,0.904,0.69,155.34,14.06,52.84,2784.8,1164.0
17,10236.0,1146.64,820,329.13,2.491,14.43,40.79,2.0,319.49,71.27,0.975,-13.7,0.515,0.284,150.17,10.2,6.4,1711.9,1325.1
18,354.0,84.81,27,26.25,1.029,10.4,12.81,7.21,36.85,12.95,0.936,-54.5,0.927,0.439,153.3,17.75,59.85,2568.0,1200.6
19,178.0,108.27,65,10.44,6.226,2.61,4.47,2.0,34.16,11.06,0.946,-73.3,0.549,0.349,35.63,2.43,17.33,1593.4,1218.6
20,315.0,194.39,119,26.93,4.42,2.69,5.66,2.0,39.41,20.72,0.851,-10.5,0.516,0.334,34.65,2.42,13.0,1606.5,1244.7
21,478.0,109.88,35,33.12,1.057,10.21,14.14,6.32,44.11,17.15,0.921,-30.2,0.768,0.409,147.46,19.19,60.19,2274.8,1251.8
22,518.0,111.15,45,16.28,2.764,11.01,15.23,4.0,43.66,17.77,0.913,87.8,0.77,0.593,135.84,23.22,62.63,2928.5,1250.7
23,304.0,73.6,25,19.31,1.294,9.92,13.42,4.0,27.59,15.02,0.839,49.2,0.879,0.551,151.47,15.48,54.8,2846.9,1272.7
24,138.0,49.11,12,14.87,0.807,7.07,10.0,2.83,19.93,9.07,0.89,48.2,0.908,0.575,139.46,7.04,42.75,1936.0,1295.8
25,260.0,68.28,17,16.03,1.06,9.12,12.0,8.0,27.34,13.06,0.878,10.7,0.887,0.693,160.69,12.25,49.51,2691.2,1337.5
26,431.0,101.74,44,15.0,2.933,9.35,15.23,4.0,31.35,19.75,0.777,78.2,0.823,0.632,125.16,32.52,96.17,2336.8,1355.0
27,462.0,102.47,45,28.32,1.589,9.83,15.62,2.83,38.33,17.73,0.887,54.5,0.788,0.455,142.9,26.32,68.84,2616.3,1360.2
28,180.0,53.11,11,11.66,0.943,9.2,12.17,4.0,19.28,12.11,0.778,31.0,0.923,0.667,151.78,14.53,53.69,2246.3,1389.7
29,623.0,119.01,40,40.26,0.994,12.02,17.89,4.0,46.99,18.63,0.918,-1.5,0.858,0.729,137.19,25.44,80.27,2483.2,1416.7
30,454.0,101.3,34,35.85,0.948,9.94,14.42,2.83,41.38,15.26,0.93,-43.3,0.863,0.407,149.46,19.4,63.18,2705.1,1443.8
31,145.0,79.4,39,10.44,3.736,3.33,6.32,2.0,22.63,11.8,0.853,-85.7,0.639,0.432,51.48,2.99,9.88,3229.8,1487.4
32,201.0,68.77,23,23.71,0.97,6.83,10.0,2.0,28.17,10.6,0.927,-24.1,0.794,0.493,163.9,10.07,44.31,2711.6,1541.9
