larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,133.0,110.51,41,11.31,3.624,2.83,5.66,2.0,30.15,10.77,0.934,-74.4,0.485,0.306,33.27,2.93,13.14,2459.1,594.9
2,109.0,75.74,35,8.49,4.125,3.36,4.47,2.0,25.81,8.67,0.942,-88.3,0.583,0.436,36.52,2.38,9.82,2420.2,595.5
3,4294.0,651.03,568,155.44,3.654,6.95,22.36,2.0,259.17,23.45,0.996,-56.3,0.808,0.155,160.56,9.51,6.41,1856.5,817.5
4,105.0,42.63,14,11.18,1.252,6.09,7.21,4.0,16.44,8.68,0.849,-6.5,0.868,0.656,144.03,9.22,53.97,2098.1,959.0
5,315.0,78.67,21,20.52,1.023,10.26,14.0,8.25,31.72,14.42,0.891,-39.0,0.849,0.485,135.53,26.9,81.91,2824.0,1020.5
6,85.0,35.21,7,6.71,1.043,6.46,8.25,4.0,12.96,8.9,0.727,-25.0,0.924,0.594,160.76,12.54,56.65,2713.5,1032.8
7,453.0,110.81,39,40.72,0.958,8.66,14.42,2.83,41.27,16.59,0.916,32.6,0.748,0.425,140.02,23.42,78.8,2843.2,1060.3
8,111.0,48.28,13,13.04,0.997,4.95,8.25,2.83,19.7,8.77,0.895,30.8,0.822,0.449,133.46,17.39,60.61,1838.8,1081.9
9,106.0,40.63,13,12.0,1.083,5.91,8.0,2.83,15.7,9.4,0.801,87.0,0.914,0.624,153.43,17.68,63.57,2324.8,1101.0
10,233.0,72.67,27,22.47,1.201,6.21,11.31,2.0,27.98,12.64,0.892,44.4,0.844,0.405,124.77,21.17,72.95,1996.5,1127.1
11,183.0,63.36,24,16.76,1.432,6.76,10.2,2.83,23.27,12.5,0.844,-5.9,0.75,0.545,150.43,20.81,66.58,2307.1,1127.3
12,84.0,33.8,4,3.61,1.109,7.35,8.94,5.66,11.88,9.16,0.636,-6.7,0.923,0.7,91.54,8.94,53.46,1450.9,1133.7
13,211.0,67.11,29,19.7,1.472,5.98,8.94,2.0,27.58,10.72,0.921,-78.2,0.824,0.58,89.39,11.52,58.46,1516.3,1158.7
14,88.0,45.46,14,13.04,1.074,4.34,7.21,2.0,16.74,8.23,0.871,-1.8,0.815,0.575,133.5,11.36,54.17,2038.9,1170.7
15,82.0,34.38,9,8.54,1.053,6.27,8.0,4.0,13.98,7.56,0.841,-69.5,0.921,0.651,161.33,8.25,53.67,2513.6,1169.3
16,192.0,61.11,15,14.14,1.061,7.85,10.2,5.66,24.87,11.21,0.893,6.7,0.835,0.667,150.98,20.43,67.48,2326.9,1335.2
17,184.0,54.04,14,11.18,1.252,8.52,11.66,4.0,19.71,12.99,0.752,-26.0,0.906,0.646,131.67,26.78,84.15,2477.8,1333.6
18,230.0,68.77,22,13.0,1.692,8.16,12.0,5.66,24.63,14.52,0.808,-40.5,0.801,0.522,134.43,27.09,75.83,2749.6,1335.5
19,128.0,48.63,16,12.53,1.277,6.58,8.94,4.0,17.71,10.95,0.786,78.7,0.815,0.571,137.52,25.12,79.81,2512.2,1348.8
