larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,2193.0,248.49,251,51.24,4.898,8.35,25.46,2.0,71.24,45.89,0.765,75.1,0.811,0.57,15.77,19.07,4.56,2582.6,612.2
2,348.0,86.08,30,25.94,1.156,9.31,13.42,4.0,33.28,14.92,0.894,-43.4,0.87,0.478,131.41,23.87,61.77,2833.0,953.9
3,403.0,97.15,32,31.4,1.019,8.91,14.56,4.0,35.73,16.56,0.886,28.0,0.819,0.474,139.81,20.66,74.38,2805.8,971.6
4,93.0,40.04,10,10.3,0.971,6.15,8.25,2.83,14.93,8.7,0.812,-53.2,0.894,0.554,143.06,13.21,57.63,2046.7,973.8
5,197.0,69.84,25,25.94,0.964,6.46,10.0,2.0,27.79,9.57,0.939,69.4,0.842,0.505,92.08,11.74,54.67,1527.3,989.1
6,111.0,44.38,12,11.18,1.073,5.67,10.0,4.0,17.86,9.37,0.851,-79.4,0.841,0.594,153.51,15.99,60.27,2311.8,1039.8
7,89.0,35.8,8,8.6,0.93,6.44,8.49,4.0,14.53,7.99,0.835,58.8,0.937,0.685,165.65,6.7,52.28,2692.6,1038.3
8,212.0,63.84,28,20.0,1.4,7.5,11.66,2.83,22.19,13.15,0.806,0.3,0.848,0.552,83.94,13.18,61.65,1485.0,1062.4
9,183.0,54.63,18,12.65,1.423,8.33,11.31,2.83,19.97,12.86,0.765,-3.5,0.876,0.688,137.68,23.19,78.33,2359.0,1109.4
10,164.0,56.77,15,15.0,1.0,7.48,8.94,4.0,22.94,9.8,0.904,-55.9,0.863,0.512,89.77,12.02,56.32,1549.6,1116.2
11,346.0,105.98,35,19.7,1.777,7.11,10.77,2.0,28.52,22.5,0.615,-78.0,0.728,0.459,126.53,21.62,68.26,1980.3,1122.9
12,94.0,38.04,10,9.85,1.015,5.98,8.25,2.83,15.57,8.0,0.858,59.1,0.922,0.57,163.85,9.38,49.07,2464.6,1147.7
13,125.0,42.63,9,7.62,1.182,7.96,10.0,5.66,14.74,11.38,0.635,55.3,0.899,0.638,141.92,24.89,74.75,2531.9,1301.7
14,130.0,41.8,8,7.0,1.143,8.83,10.77,6.0,14.45,11.92,0.565,83.7,0.956,0.714,146.02,18.09,66.98,2281.3,1309.0
15,116.0,42.63,10,9.06,1.104,6.95,8.0,6.0,17.02,9.25,0.839,7.6,0.935,0.682,161.02,9.04,55.0,2422.9,1329.9
16,219.0,63.36,22,13.15,1.673,8.39,12.81,4.0,20.53,15.17,0.674,-28.4,0.846,0.644,125.51,26.78,84.59,2776.0,1366.1
17,270.0,74.43,23,19.31,1.191,8.95,12.65,4.0,28.7,13.91,0.875,-42.4,0.846,0.491,134.17,27.96,83.25,2489.2,1372.5
18,137.0,46.87,14,13.6,1.029,7.12,10.0,4.0,17.78,10.44,0.809,-30.8,0.901,0.585,148.69,20.5,65.1,1579.1,1381.4
19,95.0,38.38,7,6.0,1.167,6.5,8.0,5.66,13.25,9.96,0.66,-76.5,0.888,0.664,119.66,18.43,62.4,1674.3,1399.6
20,112.0,42.38,11,10.2,1.079,6.29,10.0,4.0,16.62,9.47,0.822,-14.3,0.918,0.7,150.88,11.93,56.12,2709.9,1425.1
21,125.0,41.8,7,6.08,1.151,8.63,10.0,8.0,16.56,9.77,0.807,-81.3,0.926,0.71,142.47,17.18,64.53,2770.9,1431.9
22,217.0,64.77,25,16.28,1.536,7.78,12.17,4.0,20.51,15.11,0.676,57.4,0.825,0.574,123.45,30.22,89.52,2540.8,1511.8
