larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,214.0,61.94,23,15.13,1.52,8.03,12.81,2.83,19.09,16.0,0.545,7.2,0.849,0.629,102.73,13.87,61.48,2698.8,772.4
2,285.0,74.43,25,19.21,1.301,8.74,12.65,2.83,30.26,13.39,0.897,55.2,0.874,0.522,138.92,20.93,69.59,2317.8,832.3
3,302.0,82.81,32,27.86,1.149,7.87,12.81,2.83,31.39,12.87,0.912,-28.9,0.899,0.487,87.22,6.66,53.24,1651.5,841.8
4,424.0,92.43,32,22.14,1.446,11.36,14.14,6.0,33.39,17.95,0.843,16.8,0.851,0.651,122.08,28.57,92.48,2139.0,863.5
5,819.0,150.02,63,48.8,1.291,12.16,17.89,2.83,58.93,19.81,0.942,-56.8,0.831,0.4,124.7,22.85,79.43,2481.8,918.9
6,176.0,101.78,58,0,1.0,2.8,5.66,2.0,38.07,7.9,0.978,-43.2,0.657,0.233,129.89,2.65,14.98,1872.0,914.5
7,294.0,75.74,24,22.14,1.084,9.24,12.81,4.0,29.21,14.11,0.876,-56.8,0.88,0.483,136.91,22.2,74.39,2020.9,911.7
8,749.0,134.81,43,42.49,1.012,13.38,18.97,4.47,52.32,20.1,0.923,-77.1,0.83,0.55,121.51,22.54,64.71,2679.2,936.1
9,558.0,114.81,42,36.0,1.167,10.05,16.0,2.83,43.87,20.02,0.89,18.6,0.771,0.523,130.53,24.74,72.66,2501.7,970.5
10,430.0,100.18,38,32.25,1.178,9.81,14.14,2.83,39.57,15.62,0.919,8.7,0.793,0.597,125.03,25.19,85.69,2300.0,968.6
11,80.0,45.7,13,12.53,1.038,4.52,6.32,2.0,20.86,6.54,0.95,-22.6,0.721,0.455,128.34,19.28,72.24,2165.1,985.1
12,249.0,62.87,16,15.0,1.067,10.06,12.65,4.0,23.47,14.06,0.8,-32.0,0.912,0.659,131.0,27.2,85.08,2395.7,994.7
13,441.0,106.33,45,34.0,1.324,9.22,13.42,4.0,41.79,14.88,0.934,-14.6,0.84,0.565,124.16,15.93,69.04,2100.0,1019.3
14,176.0,59.7,17,16.76,1.014,7.51,10.2,4.0,24.13,10.39,0.902,-11.8,0.859,0.645,94.1,8.41,52.03,1844.2,1077.9
15,85.0,35.8,11,10.82,1.017,5.56,8.0,2.83,13.38,8.48,0.774,34.7,0.895,0.654,152.72,8.77,53.41,2268.0,1114.2
