date,mean,std,count,mean_mm,std_mm
18.10,71.0,,1,16.490162794,0.0
19.10,21.058823529411764,17.970359582640853,17,4.8910342007058825,4.173720492738951
20.10,18.833333333333332,2.4832774042918904,6,4.374151163666666,0.5767556149216201
21.10,20.636363636363637,12.143086323276528,11,4.792915434363636,2.820302398484857
24.10,31.54054054054054,8.388466270204963,37,7.325473917243244,1.9482700617979978
25.10,30.6875,7.095830215810754,32,7.1273502921250005,1.6480478227789224
26.10,38.67741935483871,13.624456189206704,31,8.98305551567742,3.1643591625315413
27.10,37.04081632653061,9.831834314429559,49,8.602944947142857,2.283500681810969
29.10,41.6875,12.52315423093926,112,9.682164246125,2.908575379754342
31.10,43.19796954314721,14.221153973781675,197,10.032979579390863,3.3029456921999976
3.11,43.86021505376344,17.097286460168913,93,10.186789949526881,3.9709441839977098
