larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,125.0,44.28,11,10.05,1.095,7.03,10.0,4.0,15.5,10.67,0.725,78.5,0.899,0.566,90.31,11.88,67.24,2308.2,641.0
2,383.0,132.75,64,41.76,1.533,5.36,10.77,2.0,43.4,12.81,0.955,-69.8,0.751,0.435,152.13,2.36,13.1,2080.9,765.9
3,255.0,124.85,61,35.34,1.726,3.43,8.0,2.0,45.83,9.03,0.98,-70.4,0.675,0.29,147.13,2.1,21.21,2038.4,786.6
4,306.0,89.25,32,29.53,1.084,7.67,12.0,4.0,35.56,13.57,0.924,-46.8,0.752,0.395,108.76,26.01,78.55,2776.7,893.0
5,89.0,33.56,3,2.24,1.342,8.07,8.94,6.32,11.4,10.17,0.452,-16.3,0.937,0.736,114.16,13.48,63.17,2663.9,903.7
6,100.0,40.04,10,8.94,1.118,6.69,8.25,5.66,14.35,9.91,0.723,62.2,0.847,0.595,131.89,23.02,79.29,2159.6,929.4
7,3189.0,310.05,166,19.7,8.427,17.72,25.46,2.0,104.33,48.81,0.884,43.1,0.785,0.466,6.12,8.06,4.15,3080.2,998.3
8,300.0,83.6,32,26.4,1.212,8.11,12.65,2.0,30.93,14.14,0.889,62.2,0.777,0.48,107.56,19.03,67.46,2766.6,995.8
9,313.0,72.77,21,17.0,1.235,10.96,14.14,6.0,26.43,16.77,0.773,37.7,0.899,0.593,124.61,23.22,82.48,2225.3,1168.2
10,127.0,45.8,12,9.0,1.333,6.54,10.2,2.83,13.61,13.22,0.24,47.8,0.901,0.648,110.96,27.82,94.2,2351.1,1181.1
11,273.0,86.33,40,23.02,1.737,6.04,12.17,2.0,31.32,13.6,0.901,-65.6,0.83,0.479,122.95,22.44,77.1,2355.5,1380.7
12,147.0,46.28,12,11.4,1.052,8.1,11.31,4.0,16.29,12.01,0.676,-70.0,0.955,0.665,104.86,19.62,73.19,1810.5,1419.7
13,246.0,67.36,21,14.76,1.422,9.57,12.81,4.47,21.58,15.93,0.675,26.9,0.857,0.647,102.88,27.36,94.74,2446.4,1464.2
14,127.0,59.36,21,16.55,1.269,5.1,8.0,2.0,22.16,9.37,0.906,-36.3,0.774,0.423,106.94,15.96,65.12,1982.0,1560.7
15,152.0,46.63,7,6.32,1.107,9.8,11.66,8.0,15.19,13.12,0.503,-1.4,0.905,0.724,93.51,12.09,59.76,1517.3,1607.4
16,278.0,68.77,20,15.0,1.333,10.08,14.14,5.66,22.04,17.51,0.607,-46.3,0.885,0.602,114.25,26.47,79.59,2557.8,1647.3
17,143.0,48.28,12,10.0,1.2,7.35,10.0,4.0,16.36,12.27,0.661,73.7,0.872,0.561,84.43,13.33,68.63,1696.2,1649.4
18,376.0,89.74,35,28.3,1.237,9.69,14.14,4.0,34.3,15.74,0.888,40.7,0.856,0.464,118.86,20.55,77.82,2650.8,1865.1
19,111.0,46.63,16,13.6,1.176,5.74,8.25,4.0,18.96,8.34,0.898,-10.4,0.86,0.584,139.02,7.34,58.1,2730.1,1901.5
20,146.0,52.28,18,16.28,1.106,6.64,8.94,4.0,20.61,10.21,0.869,-30.1,0.885,0.512,119.95,21.76,71.86,2374.1,1943.8
21,385.0,86.91,30,23.02,1.303,10.65,14.42,5.66,33.11,16.73,0.863,-36.5,0.854,0.509,101.55,20.68,71.55,1971.6,1952.0
22,293.0,108.51,76,0,1.0,3.2,7.21,2.0,37.05,12.42,0.942,-88.5,0.727,0.581,21.56,3.37,14.48,1687.5,1978.2
23,272.0,80.43,33,24.08,1.37,7.71,11.66,4.0,29.69,13.88,0.884,-64.9,0.824,0.469,108.13,21.46,80.0,2160.6,1991.2
24,223.0,66.18,18,16.12,1.116,8.75,12.0,6.32,24.32,13.52,0.831,23.2,0.845,0.596,85.89,15.15,61.74,1903.8,2030.9
