larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,2656.0,430.54,586,40.11,14.609,5.32,22.8,2.0,81.11,53.89,0.747,49.6,0.682,0.46,26.38,11.88,8.2,1841.6,1684.7
2,96.0,42.63,9,8.06,1.116,4.89,7.21,4.0,16.66,8.6,0.856,73.4,0.828,0.545,110.79,18.97,54.6,1528.7,1757.2
3,14057.0,2287.47,1361,751.78,1.81,9.84,22.36,2.0,861.73,93.66,0.994,59.0,0.238,0.055,137.63,9.07,11.03,1853.7,1919.6
4,451.0,134.51,92,33.12,2.778,4.53,10.77,2.0,45.64,17.9,0.92,63.2,0.664,0.358,150.2,3.44,6.48,1870.0,1860.5
5,161.0,57.94,16,14.87,1.076,6.45,10.0,4.0,22.5,11.27,0.866,-37.6,0.793,0.446,135.17,30.48,80.43,1939.7,1995.0
6,516.0,229.12,142,42.06,3.376,3.37,8.0,2.0,49.37,20.62,0.909,38.1,0.657,0.315,151.82,2.3,4.64,2061.5,2013.3
7,85.0,43.21,14,9.22,1.519,4.81,8.0,2.0,16.14,9.25,0.82,-62.7,0.739,0.472,124.19,26.17,75.52,1815.3,2135.7
8,85.0,35.56,8,7.62,1.05,5.67,8.25,2.83,12.61,9.11,0.691,30.0,0.904,0.654,114.2,24.17,79.01,1741.4,2170.2
9,82.0,34.04,11,7.81,1.408,5.89,8.25,2.83,12.18,9.05,0.669,50.0,0.911,0.569,107.1,18.09,66.87,1413.9,2181.9
10,103.0,44.28,16,10.82,1.479,5.64,8.49,2.83,14.95,10.48,0.713,-0.3,0.824,0.572,116.09,21.13,66.15,1155.0,2194.2
11,107.0,49.7,16,12.21,1.311,4.99,8.94,2.0,17.51,10.32,0.808,-11.3,0.759,0.457,120.18,24.13,67.34,1631.3,2241.7
12,80.0,37.21,11,10.05,1.095,5.33,8.0,4.0,14.76,8.13,0.835,17.7,0.87,0.533,141.55,20.91,62.79,1329.9,2300.9
13,91.0,37.21,9,5.1,1.765,6.5,8.25,4.0,12.55,9.92,0.612,68.6,0.892,0.636,117.27,16.32,63.15,2098.6,2364.2
14,87.0,39.46,13,6.08,2.137,5.36,8.0,4.0,12.72,10.28,0.589,-65.5,0.837,0.515,131.24,26.1,81.16,1147.4,2371.4
15,95.0,37.8,6,5.39,1.114,6.73,8.25,4.47,13.84,9.21,0.746,-72.2,0.896,0.731,150.23,17.11,65.05,1054.2,2583.4
16,105.0,44.04,14,13.0,1.077,5.55,8.25,4.0,17.39,9.03,0.855,-79.9,0.833,0.561,128.88,16.65,61.83,2189.0,2675.2
17,93.0,38.38,13,10.82,1.202,5.51,8.25,2.83,13.65,9.76,0.699,27.3,0.886,0.596,122.49,16.75,64.13,2085.5,2677.4
18,93.0,42.04,10,7.21,1.387,5.43,8.0,4.0,14.25,10.16,0.701,41.4,0.795,0.55,142.97,26.04,74.43,1150.2,2835.1
19,147.0,48.28,12,9.85,1.218,7.94,10.0,6.0,17.64,11.4,0.763,72.5,0.88,0.583,143.84,15.92,43.13,2179.6,2847.4
20,146.0,46.87,15,7.28,2.06,8.04,10.77,6.0,15.26,13.14,0.508,85.0,0.901,0.652,138.12,25.06,73.19,2104.9,2874.3
21,140.0,53.7,20,17.0,1.176,5.82,8.94,2.83,19.55,11.0,0.827,-42.3,0.8,0.486,138.06,28.76,82.54,1311.2,2881.9
22,128.0,55.7,22,14.04,1.567,5.47,8.94,2.83,20.31,10.98,0.841,-19.6,0.749,0.508,139.93,27.18,78.06,1566.0,2942.9
23,132.0,50.87,16,15.23,1.05,6.29,8.94,2.83,19.58,10.17,0.855,71.6,0.83,0.534,139.44,29.19,80.27,1068.0,3050.3
24,118.0,48.63,19,15.13,1.256,4.66,8.0,2.0,18.32,10.14,0.833,7.7,0.814,0.546,151.55,22.14,67.81,1509.2,3074.0
25,95.0,34.04,3,2.24,1.342,8.98,10.0,8.0,11.39,10.8,0.316,28.7,0.979,0.66,149.98,24.6,72.93,1626.6,3136.0
26,80.0,31.8,4,3.16,1.265,6.98,8.25,4.47,11.79,8.81,0.665,-73.0,0.952,0.667,145.91,24.56,77.76,1527.0,3137.4
27,80.0,32.14,9,7.07,1.273,6.72,8.0,4.0,11.92,8.8,0.674,2.8,0.941,0.741,156.65,19.67,68.35,1412.0,3171.3
28,115.0,43.8,11,10.77,1.021,6.32,10.0,4.0,16.86,9.81,0.813,69.5,0.871,0.697,154.46,23.98,73.3,1282.9,3184.5
29,157.0,59.11,16,15.3,1.046,5.71,10.0,4.0,23.28,10.7,0.888,15.6,0.789,0.525,144.9,26.4,62.62,1731.8,3241.5
30,98.0,34.38,2,1.41,1.414,9.0,10.0,8.0,11.61,10.99,0.322,-37.6,0.98,0.742,147.84,17.12,51.77,1557.4,3293.8
