larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,329.0,115.1,77,34.89,2.207,4.01,10.0,2.0,34.42,14.53,0.907,55.4,0.763,0.409,0.19,0.45,1.01,2815.9,704.7
2,278.0,119.44,57,39.92,1.428,4.11,10.0,2.0,41.54,10.16,0.97,-68.2,0.743,0.357,160.67,4.55,32.61,1989.8,756.2
3,605.0,116.81,37,29.73,1.244,12.16,17.09,6.0,43.1,20.39,0.881,-22.2,0.822,0.535,111.67,25.48,96.25,2424.6,810.8
4,184.0,51.7,8,5.39,1.486,10.09,13.42,6.0,16.6,14.47,0.49,-38.3,0.944,0.719,108.68,20.45,51.04,1944.7,822.0
5,299.0,77.11,22,21.02,1.046,9.5,12.0,6.0,31.76,13.23,0.909,2.3,0.882,0.643,134.25,18.26,71.93,2524.6,829.9
6,271.0,72.53,22,11.4,1.93,8.87,13.42,4.0,21.57,18.1,0.543,-27.3,0.852,0.615,103.41,20.45,87.61,2296.1,852.4
7,261.0,63.7,14,13.93,1.005,9.5,16.0,2.83,21.7,15.78,0.686,-62.4,0.932,0.741,125.41,20.76,76.27,2466.9,910.6
8,514.0,115.98,48,40.22,1.193,9.42,16.12,4.0,42.91,17.23,0.916,-63.1,0.807,0.448,104.24,17.34,77.6,2960.3,967.9
9,706.0,153.2,63,51.31,1.228,10.42,16.12,2.83,58.12,18.14,0.95,-69.5,0.75,0.378,124.21,22.32,78.77,2579.7,992.5
10,482.0,105.98,33,32.53,1.015,10.77,14.42,4.0,42.33,16.8,0.918,-38.7,0.847,0.456,112.39,14.55,69.07,2976.1,997.6
11,482.0,175.48,100,32.0,3.125,4.45,10.77,2.0,48.37,18.45,0.924,-22.0,0.62,0.4,93.93,8.88,54.83,1961.2,1032.1
