larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,193.0,64.53,23,20.0,1.15,6.82,10.0,2.83,25.94,10.74,0.91,-67.9,0.885,0.503,111.17,12.67,66.97,2416.8,779.8
2,130.0,90.12,46,11.05,4.165,2.63,5.66,2.0,25.35,9.57,0.926,-53.6,0.607,0.348,42.06,2.11,10.94,1741.9,879.7
3,185.0,143.38,58,19.1,3.036,2.76,5.66,2.0,36.27,13.49,0.928,-31.7,0.491,0.257,43.11,3.23,21.14,1754.4,902.0
4,208.0,67.01,21,17.46,1.202,7.73,10.77,4.0,23.24,13.73,0.807,28.3,0.8,0.481,100.77,20.53,75.19,2704.1,941.9
5,123.0,49.7,14,14.87,0.942,6.05,8.25,4.47,21.45,7.95,0.929,45.9,0.879,0.452,145.81,16.83,67.63,1854.1,963.8
6,163.0,55.94,16,17.03,0.94,7.23,10.0,4.0,23.09,9.49,0.912,-39.4,0.901,0.485,113.08,25.14,88.23,2311.4,1001.4
7,80.0,32.14,7,6.0,1.167,6.09,10.0,2.83,11.4,9.27,0.581,90.0,0.952,0.741,107.26,17.51,69.74,2647.7,1057.0
8,106.0,40.97,10,9.06,1.104,6.47,8.0,5.66,17.25,8.09,0.883,6.0,0.955,0.779,135.1,15.07,68.91,2279.9,1078.0
9,1917.0,322.33,352,48.1,7.317,6.03,17.09,2.0,118.12,25.21,0.977,-24.7,0.759,0.272,148.84,5.74,7.65,1621.0,1228.4
10,365.0,89.25,27,27.51,0.981,9.05,14.0,4.0,37.69,13.24,0.936,-72.6,0.91,0.563,116.19,15.05,64.22,2830.8,1215.4
11,220.0,68.77,22,21.21,1.037,7.65,10.77,4.0,28.84,11.49,0.917,16.3,0.833,0.491,115.73,17.29,52.86,1646.9,1278.7
12,180.0,50.87,8,7.07,1.131,9.45,11.66,6.0,17.71,13.66,0.636,72.2,0.928,0.667,85.4,13.16,63.34,1348.3,1298.9
13,315.0,76.77,21,20.1,1.045,9.64,12.17,4.0,28.98,15.22,0.851,-70.7,0.873,0.592,119.79,26.46,87.1,2986.4,1347.8
14,194.0,57.46,17,9.0,1.889,9.27,11.66,6.0,17.94,15.3,0.523,50.1,0.882,0.713,104.18,24.96,87.63,2558.5,1355.7
15,169.0,58.53,17,11.05,1.539,7.91,10.77,5.66,19.62,13.5,0.726,21.7,0.828,0.556,117.78,20.94,73.15,2128.6,1501.7
16,251.0,67.94,19,18.68,1.017,8.52,12.81,4.0,24.74,14.09,0.822,-10.5,0.903,0.644,119.87,18.34,67.16,2388.8,1621.6
17,131.0,43.8,10,8.6,1.162,7.57,10.0,5.66,14.83,12.35,0.554,48.5,0.923,0.72,87.73,11.64,64.79,1523.6,1640.6
18,137.0,45.7,7,4.0,1.75,8.16,11.31,4.0,14.3,12.6,0.473,-71.8,0.919,0.652,114.73,14.0,57.61,2051.5,1649.6
19,218.0,58.53,19,7.07,2.687,9.57,12.65,5.66,19.87,14.96,0.658,70.8,0.897,0.641,108.49,22.23,78.42,2365.6,1733.6
20,106.0,40.63,11,5.0,2.2,6.94,8.94,4.0,13.89,10.67,0.64,-50.9,0.869,0.627,106.53,19.13,75.62,2247.2,1879.5
21,204.0,74.67,23,21.1,1.09,6.12,11.31,2.0,27.58,11.08,0.916,23.6,0.797,0.414,81.13,20.19,67.92,1745.0,1948.7
22,307.0,80.43,28,19.31,1.45,9.31,14.0,5.66,30.23,16.13,0.846,-2.0,0.806,0.548,117.1,22.42,71.26,2588.3,1959.3
23,139.0,47.46,16,15.65,1.022,6.97,10.0,4.0,19.35,9.4,0.874,57.8,0.946,0.644,124.84,21.29,65.19,2688.5,2091.7
24,122.0,46.63,14,12.37,1.132,6.49,8.94,2.0,16.82,10.03,0.803,88.6,0.865,0.635,113.74,17.87,72.55,2141.8,2110.4
25,272.0,79.5,28,22.47,1.246,7.93,12.65,2.83,31.29,13.07,0.909,-41.2,0.822,0.418,110.75,21.41,80.88,2185.3,2127.4
26,91.0,69.15,29,0,1.0,2.27,4.0,2.0,19.14,10.14,0.848,-5.9,0.619,0.46,26.22,2.36,9.77,2059.9,2266.9
