date,mean,std,count,mean_mm,std_mm
18.10,44.89473684210526,23.68050003423376,19,10.427063649578947,5.49993381137799
19.10,16.0,10.527710331544212,258,3.716093024,2.445121932609011
20.10,14.924528301886792,8.385586401629368,106,3.4663084693207544,1.94760119557776
21.10,17.414141414141415,14.202622710518959,99,4.044535589252526,3.2986416985664673
24.10,25.981762917933132,11.847338202837012,329,6.034415495659575,2.751613178033207
25.10,24.35238095238095,8.086234924912793,210,5.655982060933333,1.8780750746808497
26.10,29.229591836734695,11.636958887107953,196,6.788742644928572,2.702751358809792
27.10,30.962962962962962,11.618491127737345,324,7.191328166814815,2.698462114324415
29.10,33.93283582089552,12.158730726423205,536,7.881098404910447,2.8239359020722326
31.10,35.839453458582405,12.877125324547947,1171,8.323921436338171,2.9907872242328977
3.11,35.172798216276476,14.100255517745454,897,8.16908688037904,3.274866322881962
