larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,351.0,155.97,80,45.25,1.768,3.52,8.0,2.0,61.65,9.27,0.989,-50.7,0.688,0.21,151.06,3.54,6.43,1996.3,895.4
2,169.0,50.97,12,9.85,1.218,8.55,10.2,7.21,18.9,12.3,0.759,78.9,0.914,0.722,119.17,11.26,56.83,2504.4,936.4
3,82.0,34.63,10,10.0,1.0,5.72,7.21,4.0,14.85,7.25,0.873,-47.4,0.953,0.569,160.72,6.36,52.51,2099.1,1030.1
4,107.0,40.97,9,8.0,1.125,7.11,8.0,6.0,16.41,8.75,0.846,-1.0,0.892,0.669,147.61,6.75,52.39,2334.5,1071.0
5,88.0,35.56,7,6.71,1.043,6.57,8.0,4.0,13.29,8.84,0.746,73.2,0.917,0.733,133.45,10.37,58.55,2493.5,1152.9
6,137.0,46.04,10,8.94,1.118,7.88,10.0,6.0,17.92,10.24,0.821,-22.2,0.913,0.634,150.31,13.95,60.69,1985.0,1184.6
7,218.0,61.11,21,13.15,1.597,8.96,12.0,5.66,22.12,13.7,0.785,-31.1,0.905,0.641,122.78,18.84,54.48,3142.2,1254.4
8,309.0,74.18,23,18.36,1.253,9.61,14.0,4.0,24.38,18.03,0.673,34.7,0.868,0.611,118.98,29.78,89.37,3079.9,1390.7
9,216.0,55.46,12,11.18,1.073,10.46,13.42,4.0,19.76,14.12,0.7,35.6,0.956,0.747,129.03,18.0,68.17,2329.6,1436.1
10,408.0,89.01,26,24.08,1.08,11.36,14.0,8.0,34.32,17.18,0.866,-89.0,0.854,0.651,117.62,29.98,95.7,3134.4,1477.2
11,209.0,57.94,16,12.53,1.277,9.61,11.66,6.0,21.79,13.29,0.792,-46.8,0.909,0.579,129.45,17.95,71.26,2032.7,1485.6
12,251.0,78.43,20,21.47,0.931,7.68,10.0,5.66,35.87,10.04,0.96,-28.6,0.804,0.433,133.92,11.53,61.08,1963.7,1622.1
13,97.0,45.7,15,16.12,0.93,5.06,8.0,2.83,19.76,6.98,0.935,60.7,0.836,0.415,122.98,20.38,70.04,2419.6,1649.8
14,348.0,83.84,25,23.09,1.083,9.73,14.14,2.83,30.34,16.23,0.845,63.1,0.827,0.527,114.25,18.59,63.12,3240.4,1700.3
15,166.0,49.21,7,6.32,1.107,9.91,11.66,8.0,15.63,14.33,0.399,-64.8,0.927,0.738,121.53,18.15,73.16,2130.9,1726.0
16,287.0,71.6,23,14.32,1.606,9.53,12.65,4.0,24.25,16.92,0.716,23.8,0.859,0.598,117.85,21.32,78.83,2809.7,1763.4
17,105.0,39.21,9,8.54,1.053,7.28,10.0,4.0,14.91,9.21,0.787,18.0,0.938,0.7,130.28,9.64,56.72,2563.5,1821.8
18,193.0,61.21,20,19.03,1.051,6.99,10.2,2.83,25.78,10.83,0.908,86.9,0.889,0.643,122.71,14.6,65.3,2714.5,1968.9
19,238.0,74.67,31,12.0,2.583,7.22,12.65,2.83,19.55,17.59,0.436,80.1,0.821,0.601,105.44,27.13,82.34,2130.2,2027.1
20,323.0,91.25,38,27.51,1.381,8.29,14.14,4.0,35.36,14.71,0.909,1.5,0.731,0.489,115.35,22.06,68.73,2023.0,2059.8
21,216.0,65.6,18,17.69,1.017,8.38,10.77,6.0,28.12,11.13,0.918,41.4,0.85,0.468,142.12,15.57,57.11,2840.7,2087.6
22,148.0,54.04,19,18.03,1.054,6.5,8.94,4.0,23.28,8.44,0.932,1.9,0.897,0.685,139.46,10.6,57.04,2345.8,2157.6
23,398.0,81.01,22,19.72,1.115,11.96,17.89,5.66,28.89,18.59,0.766,-55.4,0.89,0.641,116.29,22.61,61.1,2259.2,2191.0
