larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,3873.0,373.0,619,35.78,17.302,6.57,25.46,2.0,109.05,53.29,0.872,67.0,0.813,0.562,26.11,3.68,9.03,1528.6,1602.6
2,361.0,135.44,69,50.01,1.38,4.64,8.25,2.0,61.6,8.79,0.99,89.6,0.731,0.656,136.93,3.5,19.85,1540.6,1771.4
3,178.0,67.36,21,19.42,1.082,6.21,10.2,4.0,27.58,10.86,0.919,-41.5,0.739,0.385,131.43,30.1,78.8,1955.7,1974.1
4,2295.0,437.13,348,127.8,2.723,6.52,23.32,2.0,130.11,25.02,0.981,34.5,0.776,0.261,151.35,4.83,5.08,2137.2,2076.2
5,84.0,34.38,7,6.4,1.093,6.56,8.25,4.0,12.28,8.97,0.683,48.7,0.894,0.694,109.46,20.35,82.26,1731.9,2153.2
6,92.0,38.63,14,8.06,1.736,6.1,8.25,4.0,12.78,10.34,0.588,-11.2,0.844,0.548,109.87,18.66,70.11,1139.6,2158.0
7,83.0,35.21,9,8.06,1.116,6.24,8.0,4.0,12.14,9.11,0.661,18.6,0.892,0.692,114.95,22.23,78.76,1637.0,2239.3
8,83.0,36.63,10,7.81,1.28,5.33,7.21,4.0,12.58,9.47,0.658,-48.5,0.883,0.576,124.96,25.17,86.36,1137.4,2360.0
9,88.0,37.21,6,5.39,1.114,6.61,8.0,4.47,13.44,8.78,0.757,-67.4,0.88,0.677,144.15,16.96,69.34,1073.4,2595.2
10,107.0,42.38,10,9.22,1.085,6.39,8.25,5.66,17.16,9.08,0.849,-72.0,0.836,0.608,123.72,19.4,65.0,2208.5,2666.3
11,89.0,38.38,14,10.0,1.4,5.73,8.25,2.83,13.97,9.52,0.732,12.0,0.873,0.578,117.84,16.04,67.49,2099.3,2689.1
12,131.0,52.53,18,14.87,1.211,5.41,10.0,2.83,18.74,10.66,0.822,50.9,0.834,0.514,147.2,17.53,45.96,2191.2,2828.8
13,98.0,43.46,15,10.2,1.471,4.17,7.21,2.0,15.66,10.01,0.769,62.4,0.803,0.503,139.73,27.16,76.89,1168.3,2834.8
14,157.0,45.46,6,5.0,1.2,10.51,12.65,8.0,14.89,13.63,0.403,85.2,0.957,0.748,129.81,26.74,84.46,2145.6,2861.0
15,104.0,39.21,12,10.82,1.109,6.36,10.0,2.83,12.75,10.99,0.508,17.8,0.904,0.667,128.51,27.03,92.38,1317.5,2869.3
16,117.0,49.7,17,11.0,1.545,5.95,8.0,2.83,16.88,11.19,0.749,-21.6,0.78,0.562,136.3,24.73,80.86,1571.5,2958.3
17,140.0,54.28,19,18.44,1.03,6.06,10.0,2.0,21.03,9.96,0.881,57.3,0.8,0.486,138.74,29.81,80.0,1070.7,3061.8
18,122.0,50.04,15,14.04,1.069,5.73,10.0,4.0,18.97,10.16,0.845,6.5,0.836,0.555,147.41,25.17,73.75,1539.7,3079.0
19,89.0,34.04,6,5.1,1.177,7.34,8.49,6.32,11.81,9.86,0.55,5.7,0.947,0.622,144.63,24.02,77.37,1645.3,3124.5
20,107.0,48.28,14,13.42,1.043,5.22,8.49,2.0,18.32,9.35,0.86,-20.1,0.775,0.557,152.6,24.8,72.45,1540.6,3133.2
21,121.0,49.46,15,13.6,1.103,5.97,8.25,2.83,18.24,10.23,0.828,63.6,0.791,0.54,155.46,26.63,74.19,1318.1,3207.3
22,155.0,60.28,23,19.1,1.204,6.07,10.0,4.0,24.58,10.22,0.909,14.9,0.807,0.517,144.72,27.02,82.66,1737.0,3216.5
23,88.0,39.21,12,8.06,1.488,5.6,7.21,4.0,13.81,8.89,0.765,9.4,0.871,0.587,160.85,13.12,42.93,1668.8,3267.0
24,98.0,37.21,11,7.07,1.556,6.88,8.94,4.0,12.42,10.77,0.498,-5.2,0.891,0.628,146.78,22.4,53.44,1596.2,3288.8
