larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,217.0,65.7,20,18.36,1.089,7.84,11.66,6.0,27.16,11.73,0.902,-67.3,0.851,0.532,104.27,18.58,71.12,2418.6,777.0
2,90.0,66.33,25,0,1.0,2.66,4.47,2.0,23.0,7.27,0.949,85.6,0.643,0.476,31.97,2.86,14.03,2718.9,790.1
3,2392.0,432.1,884,60.54,14.602,3.18,10.2,2.0,74.99,52.12,0.719,-57.1,0.708,0.49,38.36,7.36,10.44,1684.9,824.9
4,198.0,58.87,18,13.93,1.292,8.37,11.31,4.0,20.41,13.86,0.734,2.4,0.853,0.651,96.08,21.87,81.21,2710.9,940.7
5,106.0,46.04,15,14.56,1.03,5.7,8.0,4.0,20.04,7.44,0.929,20.6,0.862,0.53,146.09,20.33,70.58,1863.2,978.6
6,202.0,62.77,18,17.72,1.016,7.73,10.77,4.0,24.94,11.38,0.89,-19.8,0.852,0.526,127.65,23.11,78.64,2297.3,1013.8
7,102.0,38.63,9,7.28,1.236,6.8,8.94,4.0,13.7,9.95,0.687,-83.9,0.927,0.662,114.24,15.92,65.75,2642.2,1057.1
8,110.0,45.21,16,13.89,1.152,5.48,8.0,4.0,18.37,8.48,0.887,-19.3,0.859,0.539,143.31,12.64,62.69,2263.4,1077.1
9,444.0,98.08,36,0,1.0,8.68,15.23,2.0,40.4,15.22,0.926,-73.4,0.908,0.556,110.83,20.0,63.71,2871.7,1199.6
10,330.0,80.08,19,17.46,1.088,10.73,12.65,8.0,28.29,16.41,0.815,-63.6,0.859,0.577,117.88,28.52,90.3,3017.7,1334.4
11,205.0,55.21,9,8.06,1.116,10.71,12.17,8.0,17.28,15.95,0.385,85.1,0.907,0.754,107.91,28.84,82.03,2567.4,1341.8
12,223.0,65.94,27,17.03,1.585,7.92,10.77,4.0,23.67,13.95,0.808,29.0,0.851,0.563,115.01,24.2,81.53,2151.4,1500.3
13,313.0,78.43,23,23.09,0.996,9.73,14.0,4.47,28.84,14.87,0.857,-10.4,0.867,0.635,108.15,22.82,82.27,2418.2,1616.6
14,192.0,52.28,8,6.71,1.193,9.16,12.0,6.32,16.3,15.25,0.352,-46.2,0.941,0.75,116.64,17.4,66.51,2081.0,1613.8
15,173.0,54.28,16,10.63,1.505,8.25,10.77,5.66,19.53,13.17,0.738,59.1,0.865,0.569,90.51,12.88,61.49,1531.3,1637.8
16,266.0,66.18,23,15.65,1.469,9.07,14.14,2.83,22.6,16.46,0.685,78.5,0.899,0.605,104.0,26.18,81.14,2386.7,1732.4
17,109.0,39.8,10,6.32,1.581,7.82,10.0,6.0,12.95,11.34,0.483,-22.4,0.908,0.699,113.83,17.17,71.12,2242.3,1878.8
18,220.0,80.08,26,26.25,0.991,6.47,10.2,2.0,30.64,10.73,0.937,19.3,0.772,0.458,78.69,20.14,72.35,1744.0,1952.4
19,339.0,80.77,29,17.72,1.637,10.62,14.42,6.32,29.84,17.06,0.82,-1.2,0.835,0.557,115.22,26.68,80.78,2614.2,1966.7
20,130.0,46.87,15,14.42,1.04,6.55,8.94,2.83,18.59,9.63,0.855,52.3,0.915,0.556,120.28,23.11,80.34,2700.7,2094.7
21,308.0,84.33,33,25.3,1.304,8.27,12.65,4.0,32.38,14.07,0.901,-35.3,0.824,0.44,110.16,23.77,80.21,2196.8,2120.6
22,148.0,49.56,17,16.0,1.062,7.16,10.0,2.83,21.18,9.16,0.902,-87.1,0.955,0.783,120.47,15.66,69.64,2120.5,2114.3
