larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,3890.0,448.64,454,79.81,5.688,8.46,26.0,2.0,95.87,57.25,0.802,64.9,0.824,0.59,28.21,8.41,9.78,1723.8,1602.5
2,7422.0,1280.93,680,485.06,1.402,9.96,21.54,2.0,505.26,45.44,0.996,68.8,0.407,0.088,136.87,5.7,10.72,1774.0,1813.2
3,100.0,83.3,36,13.93,2.585,2.68,4.47,2.0,20.11,11.67,0.814,10.0,0.538,0.427,19.43,3.23,13.1,2074.7,1771.4
4,113.0,44.63,14,13.04,1.074,6.08,8.49,4.0,18.15,8.83,0.874,-88.6,0.869,0.595,143.7,27.59,71.88,1847.7,1887.5
5,180.0,107.1,52,33.3,1.561,2.99,5.66,2.0,38.73,7.79,0.98,50.9,0.636,0.239,136.27,3.31,11.11,2020.6,1942.3
6,84.0,35.8,5,4.47,1.118,6.09,8.0,4.47,13.01,9.14,0.712,49.2,0.884,0.583,136.82,21.98,74.42,1733.0,1938.9
7,116.0,46.87,16,13.45,1.189,5.62,8.0,2.83,17.68,9.84,0.831,-32.6,0.872,0.518,143.03,31.44,79.04,1976.2,2002.3
8,102.0,48.53,15,14.42,1.04,4.92,8.0,2.83,18.62,8.37,0.893,-25.4,0.745,0.462,137.04,30.55,79.75,2020.1,2005.5
9,115.0,52.28,15,14.87,1.009,5.1,8.0,2.83,20.37,9.17,0.893,52.3,0.767,0.398,131.77,21.38,48.78,2095.9,2038.6
10,88.0,35.8,7,6.08,1.151,6.54,8.25,4.0,13.76,8.67,0.776,-83.3,0.889,0.629,114.05,24.62,81.3,1016.8,2163.8
11,92.0,38.38,12,10.63,1.129,5.78,8.0,2.83,14.13,9.42,0.745,40.0,0.893,0.59,125.51,21.56,72.11,1908.4,2172.9
12,83.0,38.04,10,9.49,1.054,5.78,8.0,4.0,14.3,8.54,0.802,61.8,0.83,0.494,129.25,30.7,87.0,2113.3,2195.2
13,93.0,44.04,17,7.07,2.404,4.93,8.25,2.0,15.85,9.72,0.79,85.6,0.756,0.484,137.99,22.87,73.63,1586.5,2316.1
14,82.0,40.04,12,9.43,1.272,4.68,7.21,2.83,13.94,8.83,0.774,-37.8,0.812,0.485,144.68,22.77,71.5,1386.4,2443.5
15,95.0,38.04,11,4.47,2.46,6.86,8.49,5.66,12.35,10.95,0.463,89.0,0.905,0.562,140.59,25.28,78.61,1852.4,2442.5
16,98.0,42.63,13,8.25,1.576,5.73,8.0,4.0,15.4,9.99,0.761,39.8,0.817,0.5,136.47,25.55,79.48,1200.6,2738.4
17,104.0,38.38,9,9.43,0.954,6.7,10.0,4.0,14.44,9.65,0.744,29.6,0.937,0.675,130.3,26.16,79.41,2189.1,2810.9
18,82.0,39.21,8,7.81,1.024,4.74,8.25,2.0,13.99,9.33,0.745,35.2,0.804,0.526,135.8,18.77,66.38,1855.5,2828.2
19,141.0,54.28,22,17.46,1.26,5.89,8.25,2.83,20.93,10.12,0.875,5.0,0.834,0.534,144.5,19.94,65.24,1715.9,2943.3
20,139.0,51.46,17,13.04,1.304,6.92,10.0,4.0,19.25,11.08,0.817,-15.0,0.822,0.552,133.94,27.04,80.18,1170.6,3006.2
21,102.0,42.04,13,12.53,1.038,5.8,8.25,2.83,14.84,10.02,0.738,25.6,0.879,0.567,151.8,22.69,73.26,1619.9,3168.2
