larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,606.0,222.39,190,55.23,3.44,3.3,8.25,2.0,55.69,21.93,0.919,-54.1,0.61,0.284,162.64,2.26,4.28,1981.3,762.0
2,1857.0,332.27,299,110.79,2.699,5.92,20.0,2.0,112.81,23.39,0.978,-59.6,0.792,0.278,160.61,3.9,5.0,1868.7,834.2
3,94.0,39.46,12,11.18,1.073,5.78,8.25,2.83,14.72,8.83,0.8,22.4,0.895,0.57,172.16,8.36,48.73,1984.3,897.2
4,244.0,67.11,21,17.03,1.233,8.93,12.65,4.0,24.49,14.48,0.807,17.7,0.875,0.663,125.75,28.67,91.18,2022.4,909.1
5,220.0,61.94,25,13.6,1.838,9.01,14.0,2.83,17.51,17.06,0.226,-19.6,0.88,0.609,119.3,29.76,72.24,2853.7,937.8
6,141.0,54.04,18,17.89,1.006,6.1,10.0,4.0,23.79,8.81,0.929,19.5,0.825,0.542,149.81,14.48,57.79,1945.5,993.8
7,90.0,38.38,10,9.49,1.054,5.77,8.0,4.0,16.62,7.2,0.901,-72.3,0.909,0.625,163.04,10.22,48.96,2644.9,1018.9
8,84.0,32.14,3,2.0,1.5,8.98,10.0,8.0,11.09,9.71,0.484,-79.3,0.944,0.764,125.82,12.42,54.8,3036.9,1031.0
9,105.0,43.8,15,12.17,1.233,5.99,8.94,4.0,17.23,9.31,0.841,20.9,0.854,0.561,149.18,19.07,66.95,2386.9,1050.0
10,229.0,77.5,36,21.19,1.699,5.98,11.66,2.0,28.52,12.67,0.896,-33.2,0.768,0.398,145.67,25.0,72.36,2426.3,1122.8
11,100.0,36.63,5,5.0,1.0,7.85,10.0,6.0,13.53,9.5,0.712,23.0,0.935,0.699,162.31,10.72,52.72,2389.0,1140.0
12,201.0,70.53,28,27.29,1.026,6.54,10.0,2.83,29.37,10.21,0.938,-73.8,0.81,0.479,120.19,15.37,59.72,1870.4,1211.7
13,81.0,30.73,4,3.61,1.109,7.8,8.94,6.0,10.52,9.87,0.347,44.1,0.976,0.81,122.49,13.31,56.21,1847.6,1250.2
14,169.0,56.28,14,13.0,1.077,7.56,10.0,6.0,23.01,10.62,0.887,4.6,0.841,0.64,151.33,19.61,64.57,2285.7,1267.7
15,104.0,39.21,10,9.43,1.06,6.83,8.94,4.0,14.76,9.4,0.771,28.8,0.912,0.63,135.0,26.69,81.67,2572.4,1279.4
16,120.0,48.28,16,16.64,0.961,5.88,8.49,2.83,20.29,7.99,0.919,-59.6,0.896,0.486,157.15,13.32,57.72,2393.1,1317.7
17,6827.0,871.09,641,333.1,1.924,11.8,29.12,2.0,382.14,37.66,0.995,3.2,0.533,0.368,149.52,10.92,20.49,1583.7,1486.1
18,146.0,57.7,18,18.03,0.998,6.11,10.0,2.83,23.21,9.71,0.908,51.6,0.816,0.429,132.71,15.41,57.85,1819.7,1376.6
19,110.0,46.38,15,14.32,1.048,5.48,8.25,2.83,20.08,8.03,0.917,84.4,0.84,0.579,132.91,11.69,55.12,1765.4,1411.9
20,215.0,60.53,16,10.05,1.592,9.61,12.81,6.0,19.48,15.29,0.62,-28.4,0.878,0.666,130.71,25.21,77.73,2766.5,1439.6
21,122.0,40.38,6,5.66,1.061,8.68,11.31,6.32,13.52,11.88,0.477,70.3,0.938,0.726,147.11,17.48,64.55,2675.6,1454.7
22,119.0,42.87,8,9.22,0.868,7.57,8.94,5.66,17.64,8.87,0.865,49.4,0.937,0.567,157.29,10.48,54.82,2633.3,1466.6
23,264.0,71.25,19,19.31,0.984,9.03,12.0,6.0,28.34,13.12,0.886,-27.2,0.889,0.534,139.83,23.78,76.82,2382.2,1516.3
24,156.0,51.46,19,10.82,1.757,7.23,10.0,4.0,18.19,12.22,0.741,84.8,0.872,0.619,116.43,17.62,66.95,1923.7,1537.7
25,157.0,50.28,15,14.87,1.009,7.65,10.0,4.0,19.89,10.7,0.843,-41.3,0.935,0.616,122.73,24.08,75.22,1722.9,1552.2
26,148.0,47.8,14,13.04,1.074,6.89,10.0,2.83,16.19,12.38,0.644,86.5,0.919,0.685,137.93,17.43,65.08,2877.8,1548.6
27,376.0,85.25,25,21.21,1.179,10.84,16.12,6.0,30.01,18.13,0.797,-9.6,0.845,0.606,122.53,30.17,97.77,2993.0,1577.4
28,101.0,43.21,16,15.81,1.012,5.34,8.0,2.83,18.29,7.37,0.915,70.9,0.886,0.561,161.0,13.55,54.36,3005.5,1596.0
29,327.0,90.91,34,24.7,1.377,8.31,12.65,4.0,34.29,14.7,0.903,35.4,0.794,0.404,132.13,26.89,80.88,2255.5,1613.8
30,105.0,36.38,7,6.0,1.167,7.99,10.2,5.66,12.24,11.1,0.422,-69.1,0.946,0.734,138.9,23.94,68.66,1654.6,1605.3
31,101.0,41.56,14,13.15,1.064,5.61,8.0,2.83,17.95,7.63,0.905,87.4,0.902,0.701,150.65,14.72,53.78,1634.4,1631.4
32,153.0,52.18,14,13.93,1.005,7.24,10.0,2.83,20.91,9.57,0.889,-67.0,0.927,0.56,142.97,18.55,63.46,1702.8,1645.6
33,87.0,41.21,11,10.05,1.095,4.97,8.0,2.83,15.42,7.78,0.863,85.6,0.87,0.68,158.75,8.12,50.25,2290.5,1641.7
34,293.0,87.01,36,0,1.0,6.73,12.65,2.0,32.2,14.41,0.894,-69.3,0.696,0.452,134.42,27.68,79.3,2349.2,1653.1
35,226.0,65.36,24,23.77,1.01,7.96,10.77,2.83,27.39,11.14,0.914,-70.3,0.934,0.558,145.23,15.93,62.19,2871.3,1660.2
36,208.0,60.28,16,15.65,1.022,8.5,12.0,4.0,20.42,14.09,0.724,13.7,0.86,0.693,114.82,33.72,100.16,2502.7,1694.0
37,365.0,90.57,35,29.27,1.196,9.14,14.0,2.83,35.45,14.95,0.907,-22.9,0.831,0.497,137.6,25.66,77.96,2621.2,1709.0
38,94.0,41.46,11,10.77,1.021,5.86,7.21,4.0,16.81,7.47,0.896,-68.4,0.887,0.588,124.48,12.52,57.52,1945.4,1772.0
39,166.0,54.04,17,17.69,0.961,7.23,10.2,2.83,20.54,10.82,0.85,-34.5,0.869,0.582,140.29,17.89,69.73,2417.4,1816.5
40,104.0,38.38,9,7.62,1.182,7.47,8.94,4.47,15.25,9.06,0.804,77.1,0.937,0.693,145.52,14.87,62.25,2288.8,1811.6
41,127.0,42.14,8,7.28,1.099,8.37,10.0,8.0,17.3,9.63,0.831,76.9,0.969,0.794,150.29,13.58,57.5,2406.3,1837.0
42,149.0,45.46,8,9.22,0.868,9.28,10.77,7.21,18.09,10.66,0.808,-43.7,0.961,0.662,140.48,10.87,53.52,2346.5,1946.8
43,166.0,54.53,15,14.87,1.009,7.53,10.0,4.0,21.28,10.94,0.858,-21.5,0.86,0.565,95.81,18.56,69.4,1874.6,1958.7
44,161.0,61.94,23,20.62,1.116,5.67,8.94,2.83,24.31,10.53,0.901,-33.3,0.789,0.404,87.98,15.73,62.19,1675.5,1978.3
45,80.0,33.56,7,7.21,0.971,6.39,8.0,4.0,13.89,7.39,0.847,-71.6,0.941,0.714,149.82,12.94,59.18,2558.5,2064.6
