date,mean_mm,std_mm,n
19.10,3.3642719169528,0.0,64
20.10,3.3642719169528,0.0,17
21.10,3.9363399900171787,2.493586919313671,19
24.10,5.344717242930801,3.7583203159486995,63
25.10,6.1375976056066825,4.479011975352355,68
26.10,7.041954655412037,4.734070378483654,77
27.10,7.507962410515176,4.651632784892545,64
29.10,7.304993200778907,5.1862189074246166,102
31.10,7.378483927333959,4.568293989490109,203
3.11,7.944520019061903,5.278684112373638,160
