larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,5380.0,793.89,543,268.74,2.021,8.71,22.36,2.0,328.78,24.99,0.997,-60.5,0.694,0.136,153.11,12.97,7.25,1950.7,821.5
2,677.0,181.87,78,61.4,1.27,7.32,12.81,2.0,62.66,16.64,0.964,-54.6,0.681,0.299,155.12,8.79,21.88,1815.3,930.6
3,192.0,55.11,17,16.4,1.037,8.52,11.31,5.66,22.33,11.6,0.854,-43.0,0.937,0.594,149.52,18.12,50.38,1860.2,946.1
4,295.0,79.6,27,26.93,1.003,8.74,12.65,2.83,30.47,13.87,0.89,20.6,0.829,0.575,133.26,27.61,77.74,2009.8,977.6
5,149.0,45.8,12,11.18,1.073,8.34,11.66,5.66,17.03,11.51,0.737,10.0,0.943,0.73,161.48,11.01,50.52,2552.3,1005.7
6,249.0,92.23,35,24.84,1.409,5.84,10.77,2.0,33.24,12.27,0.929,56.0,0.798,0.387,85.77,13.04,54.56,1503.8,1013.6
7,235.0,62.53,14,13.04,1.074,9.33,10.0,7.21,24.35,13.19,0.841,-2.2,0.925,0.671,144.57,21.36,72.99,2779.4,1022.5
8,212.0,63.7,20,17.03,1.174,8.07,10.2,4.0,24.44,12.88,0.85,-39.7,0.845,0.53,139.82,25.42,78.33,2507.3,1180.8
9,108.0,37.46,2,1.41,1.414,10.66,11.31,10.0,11.96,11.57,0.254,30.1,0.947,0.692,132.1,17.32,59.97,2191.6,1209.0
10,212.0,54.63,6,5.39,1.114,12.81,14.14,10.77,17.87,15.44,0.503,10.1,0.938,0.785,119.29,21.55,67.36,2105.1,1212.8
11,116.0,44.38,13,11.05,1.177,6.51,8.25,4.0,18.06,8.74,0.875,-4.4,0.885,0.682,163.77,9.01,50.7,2450.5,1220.2
12,127.0,48.04,14,13.15,1.064,5.95,10.0,2.0,19.48,8.88,0.89,8.2,0.894,0.635,157.56,14.94,57.03,2517.9,1232.0
13,239.0,62.77,11,10.82,1.017,10.65,12.65,8.0,23.4,13.75,0.809,43.6,0.902,0.598,122.93,13.18,58.27,1896.8,1260.1
14,103.0,44.04,13,13.45,0.966,5.73,8.25,4.0,17.32,8.79,0.862,49.3,0.873,0.526,157.76,14.68,55.85,2473.0,1260.9
15,83.0,36.63,10,9.49,1.054,5.83,8.0,2.83,13.58,8.0,0.808,-81.6,0.874,0.659,91.47,11.26,40.51,1644.5,1319.8
16,138.0,51.7,13,12.17,1.069,6.06,10.2,4.0,20.32,9.9,0.873,7.2,0.852,0.627,154.66,15.22,58.41,2302.6,1351.4
17,107.0,38.63,9,6.4,1.406,7.01,8.94,4.0,12.75,11.33,0.459,38.3,0.93,0.633,140.75,22.32,71.64,2547.2,1358.8
18,256.0,74.08,34,15.23,2.232,8.32,13.42,2.83,20.63,17.4,0.537,81.0,0.837,0.557,124.45,28.12,64.19,1676.9,1389.4
19,209.0,59.7,17,13.89,1.224,9.31,11.66,5.66,22.17,13.25,0.802,-42.3,0.893,0.579,128.04,27.44,82.53,2713.5,1432.8
20,287.0,92.81,37,27.66,1.338,7.18,11.31,2.0,34.05,13.62,0.917,19.4,0.736,0.448,118.95,23.94,74.01,1736.5,1466.0
