larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,1739.0,402.84,263,73.93,3.558,6.75,18.97,2.0,92.7,37.74,0.913,-41.1,0.572,0.341,6.12,12.13,2.52,1791.7,669.2
2,118.0,82.23,34,26.42,1.287,2.93,4.47,2.0,31.18,6.95,0.975,-57.1,0.641,0.239,149.47,2.67,16.33,1839.3,832.0
3,512.0,169.04,64,55.97,1.143,6.65,12.17,2.0,54.5,14.93,0.962,-49.9,0.742,0.271,154.6,13.63,29.6,1728.2,917.6
4,92.0,34.14,7,5.83,1.2,7.45,8.94,6.0,12.52,9.64,0.638,-63.1,0.958,0.767,141.8,10.91,56.17,2113.0,946.7
5,93.0,34.14,5,4.47,1.118,7.98,8.94,6.0,13.53,8.82,0.758,-18.7,0.979,0.795,146.82,16.6,59.25,1863.2,985.7
6,93.0,36.38,8,7.0,1.143,7.23,8.25,5.66,13.58,9.11,0.742,7.0,0.93,0.715,160.89,8.25,53.11,2712.3,989.5
7,287.0,70.18,23,19.42,1.185,10.13,14.0,4.0,25.06,15.8,0.776,-20.8,0.905,0.657,133.98,27.0,82.46,2811.7,1067.6
8,461.0,113.64,43,38.33,1.122,8.81,16.12,4.0,39.82,17.47,0.899,23.0,0.761,0.447,134.52,26.0,83.24,2863.7,1081.8
9,144.0,44.87,12,11.7,1.025,7.73,12.0,4.0,14.69,12.96,0.471,70.4,0.935,0.643,148.34,18.29,63.66,2236.6,1104.7
10,107.0,40.04,12,11.31,1.061,6.6,8.94,4.0,15.39,9.47,0.788,-51.4,0.93,0.588,150.26,21.97,67.81,2336.3,1108.8
11,237.0,75.01,30,22.83,1.314,7.23,10.77,2.83,27.6,12.74,0.887,69.2,0.853,0.516,124.96,19.83,71.7,1993.8,1117.9
12,96.0,37.21,9,8.94,1.006,6.74,8.25,4.0,15.16,8.14,0.844,-22.5,0.941,0.64,158.46,10.87,56.53,2567.1,1115.2
13,85.0,37.8,13,12.17,1.069,5.1,7.21,2.83,14.06,8.17,0.814,76.9,0.914,0.63,94.07,8.21,52.18,1425.0,1161.6
14,132.0,58.53,15,16.97,0.884,5.39,8.94,2.0,25.53,8.49,0.943,42.6,0.767,0.367,129.95,12.34,55.05,2061.7,1176.1
15,256.0,71.36,22,18.36,1.198,8.22,13.42,2.83,27.32,14.09,0.857,-35.8,0.831,0.508,141.89,26.09,74.11,2475.9,1271.1
16,228.0,64.53,20,14.32,1.397,8.95,11.66,4.0,22.5,14.11,0.779,-2.6,0.87,0.724,138.37,26.27,73.63,2687.6,1279.8
17,185.0,63.6,24,0,1.0,5.85,10.0,2.0,25.99,10.52,0.914,-81.4,0.822,0.569,149.83,16.91,66.95,2314.6,1309.2
18,149.0,57.7,18,11.18,1.61,6.18,8.94,2.83,20.73,10.56,0.861,-90.0,0.814,0.621,158.44,12.12,52.56,2714.6,1310.2
19,162.0,54.04,15,14.0,1.071,7.32,10.77,5.66,22.12,10.35,0.884,-86.8,0.895,0.614,146.32,19.82,68.8,2494.8,1375.0
20,157.0,48.87,13,13.42,0.969,8.02,10.2,5.66,20.28,9.96,0.871,-65.3,0.969,0.689,137.64,16.31,60.86,2896.5,1381.9
21,88.0,34.38,7,6.71,1.043,7.28,8.0,6.32,13.83,8.15,0.808,-67.4,0.926,0.677,146.38,8.2,50.62,1779.8,1408.4
22,128.0,48.28,10,9.85,1.015,5.91,10.0,4.0,19.53,9.61,0.871,62.1,0.877,0.547,154.02,15.36,58.98,2506.8,1429.2
23,219.0,59.94,13,13.6,0.956,9.92,13.42,4.0,21.12,13.79,0.757,58.8,0.905,0.644,130.57,33.91,84.81,2475.5,1461.4
24,251.0,64.53,17,14.21,1.196,8.62,12.17,4.0,22.3,15.81,0.706,28.7,0.887,0.661,142.68,28.62,71.91,2262.1,1482.1
25,125.0,46.04,12,12.04,0.997,7.08,8.94,5.66,18.93,9.07,0.878,47.3,0.893,0.556,148.24,14.2,55.65,1616.0,1494.8
26,214.0,64.77,23,11.18,2.057,7.37,12.17,2.83,18.78,16.29,0.497,-64.3,0.833,0.593,130.22,34.71,86.06,2327.4,1522.1
27,270.0,79.01,29,24.04,1.206,6.36,12.0,2.0,30.02,13.53,0.893,58.5,0.823,0.47,127.19,23.82,75.45,2089.9,1584.6
28,389.0,109.74,37,10.63,3.481,7.89,14.0,2.0,26.22,24.09,0.395,6.0,0.799,0.622,130.8,29.92,78.2,1621.9,1642.1
29,91.0,34.38,7,7.21,0.971,6.88,8.49,4.0,13.67,8.58,0.778,-54.3,0.978,0.7,131.93,10.15,52.35,1870.3,1659.8
