date,image_name,total_components,components_kept,components_rejected,retention_rate_pct,area_min,area_median,area_max
18.10,larva_001,1,0,1,0.0,0,0.0,0
18.10,larva_002,1,0,1,0.0,0,0.0,0
18.10,larva_003,2,0,2,0.0,0,0.0,0
18.10,larva_004,9,2,7,22.2,132,212.5,293
18.10,larva_005,1,0,1,0.0,0,0.0,0
18.10,larva_006,1,0,1,0.0,0,0.0,0
18.10,larva_007,1,0,1,0.0,0,0.0,0
18.10,larva_008,1,0,1,0.0,0,0.0,0
18.10,larva_009,1,0,1,0.0,0,0.0,0
18.10,larva_010,1,0,1,0.0,0,0.0,0
18.10,larva_001,6,0,6,0.0,0,0.0,0
18.10,larva_002,1,0,1,0.0,0,0.0,0
18.10,larva_003,1,0,1,0.0,0,0.0,0
18.10,larva_004,1,0,1,0.0,0,0.0,0
18.10,larva_001,1,0,1,0.0,0,0.0,0
18.10,larva_002,6,0,6,0.0,0,0.0,0
18.10,larva_003,1,0,1,0.0,0,0.0,0
18.10,larva_004,1,0,1,0.0,0,0.0,0
18.10,larva_005,1,0,1,0.0,0,0.0,0
18.10,larva_006,1,0,1,0.0,0,0.0,0
18.10,larva_007,2,0,2,0.0,0,0.0,0
18.10,larva_008,1,0,1,0.0,0,0.0,0
18.10,larva_009,1,0,1,0.0,0,0.0,0
18.10,larva_010,2,0,2,0.0,0,0.0,0
18.10,larva_001,8,0,8,0.0,0,0.0,0
18.10,larva_002,1,0,1,0.0,0,0.0,0
18.10,larva_003,4,0,4,0.0,0,0.0,0
18.10,larva_004,1,0,1,0.0,0,0.0,0
18.10,larva_005,2,0,2,0.0,0,0.0,0
18.10,larva_006,1,0,1,0.0,0,0.0,0
18.10,larva_007,9,1,8,11.1,174,174.0,174
18.10,larva_008,7,1,6,14.3,376,376.0,376
18.10,larva_001,1,0,1,0.0,0,0.0,0
18.10,larva_002,1,0,1,0.0,0,0.0,0
18.10,larva_003,1,0,1,0.0,0,0.0,0
18.10,larva_004,1,0,1,0.0,0,0.0,0
18.10,larva_005,1,0,1,0.0,0,0.0,0
18.10,larva_006,1,0,1,0.0,0,0.0,0
18.10,larva_007,1,0,1,0.0,0,0.0,0
18.10,larva_008,1,0,1,0.0,0,0.0,0
