larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,111.0,46.63,15,14.32,1.048,5.8,8.0,2.83,19.89,7.42,0.928,-18.3,0.902,0.584,94.89,7.48,52.01,2026.2,806.5
2,12590.0,1572.03,1039,533.1,1.949,12.04,24.33,2.0,594.71,55.59,0.996,-30.6,0.393,0.09,137.48,9.34,12.94,1802.8,1134.0
3,269.0,69.01,23,13.04,1.764,9.82,13.42,4.0,23.56,15.74,0.744,-34.1,0.876,0.582,122.06,22.77,75.05,2695.4,961.6
4,257.0,73.94,27,23.35,1.157,8.22,11.66,2.83,29.87,12.66,0.906,5.5,0.837,0.535,118.94,25.79,73.81,2037.0,1055.2
5,222.0,65.01,20,16.97,1.179,8.25,11.66,4.0,24.01,13.31,0.832,31.6,0.835,0.508,111.79,21.11,73.51,2063.9,1096.3
6,144.0,51.36,11,12.04,0.914,6.95,8.94,4.47,21.28,9.07,0.905,48.2,0.917,0.474,146.34,8.55,49.66,2817.6,1105.1
7,7850.0,830.25,1071,223.19,4.799,8.2,34.23,2.0,224.17,82.18,0.93,-28.8,0.531,0.281,14.82,14.62,5.66,1500.2,1191.7
8,113.0,44.87,13,12.73,1.021,6.16,8.25,4.47,18.0,8.59,0.879,-42.4,0.876,0.538,130.57,12.23,55.8,2285.3,1182.2
9,184.0,52.04,14,11.18,1.252,8.37,12.17,2.83,17.14,14.42,0.54,-51.9,0.929,0.719,122.51,27.18,78.65,2431.4,1240.7
10,175.0,59.36,16,15.81,1.012,7.39,8.94,5.66,24.13,9.84,0.913,17.1,0.858,0.585,140.18,17.99,67.11,2552.6,1316.2
11,133.0,43.8,13,5.39,2.414,8.09,11.31,4.0,13.54,13.23,0.214,-9.9,0.93,0.679,121.22,20.87,66.56,2199.0,1317.4
12,326.0,99.15,58,34.23,1.694,6.17,11.66,2.0,38.03,13.43,0.936,16.2,0.803,0.441,123.42,18.93,61.7,2180.4,1328.2
13,232.0,76.08,21,21.19,0.991,7.24,12.0,2.0,28.77,11.79,0.912,61.3,0.784,0.46,123.98,25.7,74.05,1732.4,1333.4
14,258.0,71.7,29,23.71,1.223,8.23,12.0,2.83,26.28,13.75,0.852,32.9,0.835,0.543,132.72,18.19,73.95,2531.3,1346.8
15,119.0,49.46,11,10.44,1.054,5.82,8.25,4.0,20.32,8.45,0.909,14.9,0.856,0.626,157.38,11.69,53.62,2981.6,1344.2
16,303.0,157.97,65,14.87,4.372,3.37,6.32,2.0,38.83,14.46,0.928,89.4,0.61,0.457,20.81,2.36,12.22,1477.0,1542.8
17,1731.0,354.37,330,77.78,4.243,5.66,18.0,2.0,73.63,47.62,0.763,10.8,0.592,0.414,8.58,9.11,4.41,1463.6,1585.7
18,97.0,38.63,13,7.0,1.857,6.42,8.94,4.0,12.4,10.71,0.503,29.4,0.907,0.622,101.16,10.18,54.89,1984.8,1554.3
19,268.0,78.08,24,21.4,1.121,8.5,11.31,4.0,31.1,12.44,0.917,-55.1,0.793,0.473,108.66,17.34,65.54,3146.9,1558.2
20,317.0,90.77,39,11.05,3.531,7.71,10.77,2.83,35.48,13.34,0.927,-81.1,0.813,0.518,134.01,23.58,78.63,2557.9,1578.4
21,241.0,69.01,25,0,1.0,6.95,11.66,2.0,27.44,12.49,0.89,-51.7,0.893,0.507,95.33,18.19,64.55,1880.8,1589.6
22,390.0,97.25,40,31.76,1.259,8.98,12.65,2.83,38.14,14.65,0.923,73.9,0.844,0.527,129.48,22.13,77.5,2703.4,1772.0
23,182.0,59.7,18,18.03,0.998,7.52,10.2,5.66,24.86,10.32,0.91,-29.5,0.863,0.51,133.71,14.81,63.29,2198.3,1811.6
24,334.0,94.43,53,30.41,1.743,6.49,12.81,2.0,36.74,13.95,0.925,78.9,0.749,0.488,128.76,29.55,84.19,2531.9,1819.0
25,321.0,84.67,28,29.15,0.96,9.06,11.66,4.0,35.44,12.47,0.936,61.0,0.877,0.472,144.59,25.81,63.22,2900.2,1901.2
26,170.0,53.11,18,0,1.0,5.33,11.31,2.0,17.35,13.3,0.642,-71.1,0.881,0.596,99.12,20.69,78.79,1982.6,1909.2
27,197.0,69.6,24,18.6,1.29,6.3,10.77,2.0,19.07,15.31,0.596,56.6,0.782,0.546,118.42,30.23,84.63,2262.8,1915.8
28,140.0,46.63,11,7.07,1.556,7.99,10.0,6.0,17.03,11.23,0.752,70.5,0.897,0.673,87.86,11.35,57.79,1657.2,1919.8
29,96.0,40.63,14,11.05,1.268,5.79,8.0,4.0,14.98,9.05,0.797,8.1,0.873,0.686,119.04,13.01,57.4,1915.5,1985.3
30,178.0,57.36,12,12.53,0.958,8.08,10.0,6.32,23.79,10.26,0.902,29.7,0.89,0.53,140.75,21.18,70.4,2092.4,2089.3
31,196.0,55.21,15,14.56,1.03,8.47,10.77,2.83,22.27,11.69,0.851,78.0,0.938,0.778,141.29,21.19,66.73,2271.1,2106.4
32,282.0,76.43,25,18.87,1.325,9.57,14.0,4.47,24.15,16.63,0.725,47.3,0.873,0.61,117.0,31.67,101.14,2480.1,2138.0
33,120.0,44.87,11,10.77,1.021,6.72,8.49,4.0,17.89,9.63,0.843,41.8,0.87,0.536,108.55,8.7,51.78,2501.3,2286.1
