larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,3733.0,425.45,185,129.85,1.425,18.7,25.3,2.0,156.89,50.33,0.947,61.8,0.591,0.302,5.05,11.49,1.33,2028.1,1605.4
2,101.0,42.63,15,12.04,1.246,5.4,7.21,2.83,15.48,9.86,0.771,50.9,0.886,0.598,110.77,16.75,63.85,1800.2,2052.3
3,85.0,39.8,14,8.06,1.736,5.26,8.0,2.83,13.11,10.13,0.634,77.0,0.842,0.545,126.76,24.12,68.24,1212.4,2058.7
4,83.0,36.63,10,10.82,0.925,5.4,8.25,2.83,14.88,7.54,0.862,59.9,0.922,0.539,133.1,13.37,59.9,1270.6,2098.0
5,85.0,36.04,12,8.06,1.488,6.03,8.25,4.0,12.68,9.16,0.691,-10.5,0.885,0.552,114.54,25.62,82.46,1194.8,2107.6
6,2416.0,592.28,336,185.39,1.812,7.11,16.49,2.0,186.65,22.17,0.993,10.7,0.583,0.269,132.08,7.69,9.39,2445.2,2223.7
7,7644.0,534.68,522,157.44,3.316,16.38,33.29,2.0,172.82,67.35,0.921,-17.4,0.78,0.52,8.38,5.31,6.38,928.3,2276.2
8,93.0,39.21,13,10.82,1.202,5.4,8.49,2.0,13.95,9.49,0.733,65.5,0.912,0.604,135.57,17.62,63.54,2060.9,2391.4
9,98.0,40.04,14,8.94,1.565,5.87,8.25,2.83,13.82,9.84,0.702,-9.9,0.883,0.636,128.0,18.44,71.67,2267.0,2473.6
10,99.0,48.28,16,8.6,1.86,4.81,8.0,2.0,15.87,10.52,0.749,-62.1,0.75,0.476,126.34,29.38,85.09,1668.5,2501.0
11,118.0,44.87,12,8.6,1.395,6.3,8.94,2.83,13.43,12.4,0.383,48.0,0.855,0.605,120.47,25.62,88.51,1607.8,2556.5
12,124.0,50.87,16,14.87,1.076,5.27,8.94,2.83,19.63,10.09,0.858,-52.5,0.795,0.466,137.23,23.84,75.83,1767.3,2585.6
13,136.0,50.53,19,9.0,2.111,6.82,10.0,4.0,16.41,11.87,0.691,-28.6,0.829,0.607,123.07,28.32,84.63,1375.3,2631.0
14,80.0,34.14,9,8.06,1.116,5.96,8.0,4.0,13.6,7.95,0.812,-11.4,0.976,0.714,144.78,11.09,57.74,1876.2,2730.4
15,126.0,47.46,8,8.06,0.992,6.11,8.0,4.47,17.92,10.47,0.811,49.2,0.851,0.525,142.58,21.7,71.87,1269.5,2832.1
16,131.0,51.7,17,15.3,1.111,5.76,10.0,2.83,19.22,10.65,0.832,0.7,0.794,0.504,126.11,22.41,70.27,1981.0,2939.4
17,106.0,38.38,5,4.0,1.25,7.78,8.25,7.21,12.64,11.04,0.487,19.2,0.922,0.741,126.85,20.67,72.15,1593.4,2965.0
18,104.0,39.21,9,7.21,1.248,6.97,8.94,4.47,14.33,9.86,0.726,-37.0,0.929,0.667,145.23,17.34,61.72,1735.8,3021.8
19,142.0,50.04,13,10.63,1.223,6.81,10.77,4.0,17.58,12.16,0.722,-20.8,0.861,0.607,146.37,19.82,58.85,1558.1,3056.8
20,194.0,60.28,19,19.7,0.965,7.84,10.77,4.0,24.74,10.37,0.908,19.2,0.902,0.622,95.88,21.92,62.66,2267.7,3102.1
21,4931.0,479.37,425,42.05,10.108,13.15,28.0,2.0,119.75,63.52,0.848,-70.6,0.762,0.537,4.36,3.65,6.17,1284.5,3139.6
