larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,286.0,108.61,83,20.22,4.104,3.44,6.32,2.0,36.57,12.32,0.942,-82.6,0.739,0.552,23.45,2.43,10.13,2018.1,725.6
2,1157.0,203.76,125,18.25,6.85,8.45,18.44,2.0,59.19,31.59,0.846,74.1,0.781,0.554,14.54,4.28,7.58,2887.4,835.2
3,121.0,39.8,9,8.06,1.116,7.91,10.0,4.0,13.53,11.82,0.486,10.6,0.953,0.776,111.55,13.59,62.45,2409.0,868.9
4,150.0,49.94,14,13.04,1.074,7.0,10.0,2.0,18.57,10.85,0.812,38.2,0.938,0.551,149.45,13.95,63.55,1991.2,1074.2
5,86.0,34.97,9,8.54,1.053,6.63,8.0,4.0,13.86,8.11,0.811,70.5,0.925,0.683,150.14,6.12,52.69,2308.3,1146.1
6,276.0,70.43,21,15.0,1.4,10.13,14.14,6.0,26.43,15.08,0.821,-52.5,0.849,0.545,137.29,18.5,68.92,2280.2,1166.4
7,81.0,32.14,4,3.0,1.333,7.5,8.0,6.0,10.52,9.95,0.323,-76.5,0.953,0.81,134.42,15.19,65.58,2340.6,1192.1
8,403.0,106.33,47,29.43,1.597,8.45,16.0,2.83,37.73,17.5,0.886,5.8,0.716,0.501,126.48,19.93,61.29,2679.7,1354.0
9,220.0,59.46,14,10.82,1.294,9.93,12.17,8.94,21.33,14.42,0.737,47.3,0.902,0.643,138.64,16.41,63.36,2207.1,1448.3
10,103.0,43.21,12,11.4,1.052,5.93,7.21,4.0,18.36,7.87,0.903,58.6,0.858,0.528,132.83,12.8,61.14,2407.1,1485.0
11,245.0,118.02,65,34.18,1.902,3.2,6.0,2.0,44.61,9.59,0.977,77.1,0.623,0.349,23.8,2.59,24.73,1523.7,1508.2
12,125.0,43.46,8,7.07,1.131,8.09,10.0,6.32,17.38,9.24,0.847,-7.9,0.94,0.694,139.99,11.29,59.01,2127.0,1537.0
13,294.0,74.43,23,20.88,1.102,9.69,14.14,4.0,28.57,13.64,0.879,15.3,0.919,0.634,129.2,18.84,68.58,1835.8,1710.5
14,175.0,53.36,15,9.22,1.627,9.14,12.0,5.66,16.92,14.4,0.525,-24.1,0.888,0.572,117.54,19.99,74.76,2057.2,1778.3
15,306.0,75.01,25,15.65,1.597,9.85,12.65,6.0,26.66,16.77,0.777,-54.4,0.862,0.532,120.08,23.74,78.53,2835.4,1781.2
16,118.0,42.63,10,10.3,0.971,7.36,8.94,4.0,16.23,9.64,0.804,52.7,0.908,0.602,131.4,10.1,58.6,2235.7,1782.5
17,176.0,59.46,18,17.03,1.057,6.85,8.94,4.47,25.32,10.07,0.918,10.8,0.859,0.611,120.92,14.32,61.74,1787.1,1846.5
18,389.0,88.91,32,30.41,1.052,9.82,14.42,2.83,37.09,14.51,0.92,-32.1,0.911,0.483,121.62,19.22,68.96,2152.5,1857.2
19,121.0,42.63,10,9.85,1.015,7.45,10.0,6.0,17.74,8.74,0.87,-17.3,0.953,0.672,134.16,6.72,51.01,2645.8,1924.0
20,235.0,66.28,23,20.12,1.143,8.24,12.0,2.83,26.41,12.7,0.877,72.2,0.897,0.627,121.63,17.21,68.31,2500.2,2033.5
21,185.0,50.63,10,7.81,1.28,10.47,13.42,6.0,17.56,13.91,0.61,69.5,0.939,0.725,134.3,13.3,43.59,2736.9,2152.5
