larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,630.0,228.78,209,42.01,4.975,3.1,7.21,2.0,45.59,25.38,0.831,8.3,0.602,0.457,24.64,2.42,9.83,1504.8,1576.5
2,14177.0,1092.74,1320,155.33,8.498,11.83,28.28,2.0,230.24,116.57,0.862,52.6,0.706,0.429,20.82,15.26,9.18,1839.6,1651.5
3,263.0,142.65,85,28.32,3.001,3.05,7.21,2.0,29.66,16.91,0.822,54.4,0.614,0.421,152.24,2.65,4.73,2109.0,2051.8
4,982.0,211.56,242,50.57,4.786,4.13,11.66,2.0,62.63,23.13,0.929,37.0,0.756,0.42,153.01,3.07,4.7,2141.9,2093.5
5,85.0,40.97,13,12.0,1.083,5.0,8.0,2.83,16.11,8.32,0.856,-79.2,0.817,0.59,122.84,20.47,60.66,1690.0,2204.2
6,93.0,38.38,12,11.0,1.091,5.24,8.25,2.83,12.52,10.15,0.585,76.0,0.903,0.664,110.24,21.07,77.75,1773.9,2208.2
7,99.0,42.04,15,9.43,1.59,5.81,8.25,4.0,13.82,10.86,0.618,-54.4,0.825,0.589,112.47,24.87,74.48,1689.0,2228.7
8,89.0,39.8,15,5.0,3.0,5.37,8.0,2.83,14.07,9.74,0.721,-75.8,0.824,0.53,127.97,25.91,84.38,1154.3,2378.9
9,93.0,36.14,7,6.4,1.093,6.55,8.25,4.0,12.88,9.58,0.668,-42.1,0.903,0.715,147.16,16.9,67.39,1160.5,2705.4
10,122.0,44.04,13,5.83,2.229,7.09,10.0,4.47,14.06,12.48,0.46,-81.7,0.91,0.622,123.54,21.6,53.93,2243.5,2715.3
11,120.0,48.04,20,11.05,1.811,5.41,8.0,2.83,16.85,11.2,0.747,-17.3,0.805,0.577,125.28,23.93,79.74,2161.8,2742.4
12,105.0,43.46,14,13.6,1.029,5.77,8.94,2.83,16.22,9.08,0.829,69.6,0.882,0.561,150.08,15.91,40.73,2219.3,2773.5
13,110.0,41.8,10,7.28,1.374,6.73,8.94,4.0,13.04,11.65,0.45,-6.8,0.88,0.705,129.55,28.74,90.51,1347.2,2835.3
14,86.0,34.38,7,5.83,1.2,6.85,8.0,6.0,13.75,8.07,0.809,-22.4,0.956,0.735,157.58,15.83,62.35,906.4,2866.3
15,99.0,43.46,15,10.44,1.437,5.51,8.0,2.83,15.32,9.62,0.779,-3.9,0.811,0.643,140.44,26.39,78.89,1274.4,2876.1
16,114.0,44.04,12,6.08,1.973,6.62,8.94,4.0,13.48,11.92,0.466,-52.2,0.838,0.582,134.88,27.01,83.92,1639.2,3035.0
17,86.0,34.97,12,6.08,1.973,6.55,8.25,4.0,11.28,10.73,0.309,-5.1,0.915,0.652,140.76,22.57,76.01,1695.1,3090.7
18,143.0,53.7,14,13.04,1.074,6.15,10.0,4.0,21.2,10.05,0.881,5.0,0.846,0.567,138.85,25.59,74.96,1802.3,3101.5
19,147.0,57.7,24,18.44,1.302,5.93,8.49,2.83,21.66,10.65,0.871,16.6,0.803,0.457,139.8,31.22,82.0,1094.2,3108.2
20,134.0,57.94,17,16.28,1.044,5.44,10.0,2.0,20.61,10.97,0.847,-3.0,0.77,0.515,144.25,25.97,74.63,1681.7,3106.3
21,101.0,44.04,12,10.44,1.149,5.77,8.25,4.0,16.84,9.22,0.837,-8.5,0.821,0.574,150.65,22.35,72.23,1629.4,3144.0
22,82.0,44.87,15,11.66,1.286,4.37,8.0,2.0,13.75,10.05,0.683,65.8,0.774,0.488,156.24,22.92,70.18,1492.2,3207.7
23,115.0,40.87,11,7.21,1.525,7.11,10.0,4.0,13.97,11.15,0.602,-37.7,0.92,0.632,148.98,23.22,50.6,1733.9,3264.3
24,131.0,47.21,14,12.81,1.093,7.03,8.94,4.0,18.3,10.35,0.825,56.0,0.879,0.624,156.88,26.1,52.57,1479.2,3290.8
