larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,1304.0,317.69,202,81.22,2.487,5.94,18.97,2.0,91.38,20.2,0.975,-60.9,0.774,0.287,162.64,2.88,4.3,1910.5,763.6
2,1530.0,345.14,320,115.68,2.766,4.67,12.17,2.0,113.62,22.24,0.981,-57.1,0.689,0.212,160.0,4.07,5.89,1790.7,851.0
3,389.0,196.74,74,70.29,1.053,4.23,7.21,2.0,74.87,7.91,0.994,-49.9,0.655,0.136,145.2,3.51,19.38,1802.7,865.8
4,139.0,51.46,15,15.0,1.0,6.8,8.94,4.0,20.79,9.82,0.881,38.0,0.837,0.515,151.51,23.98,67.87,1865.5,953.9
5,88.0,41.8,12,9.43,1.272,4.19,8.94,2.0,15.32,8.45,0.834,-57.4,0.863,0.571,148.33,7.47,49.89,2112.0,973.5
6,424.0,93.84,25,24.17,1.035,10.74,16.12,4.0,34.49,17.94,0.854,37.9,0.805,0.51,138.07,25.72,78.05,2871.1,1081.0
7,142.0,46.04,14,6.08,2.302,8.05,10.0,5.66,14.98,13.25,0.467,-60.8,0.91,0.634,141.47,20.89,63.75,2184.9,1083.9
8,302.0,71.94,20,19.03,1.051,10.26,14.0,4.0,28.1,14.98,0.846,-15.5,0.915,0.658,135.26,24.19,74.94,2798.6,1097.5
9,223.0,71.7,27,7.07,3.818,7.49,10.2,2.83,26.75,12.63,0.881,87.5,0.832,0.536,127.24,17.52,70.76,1991.9,1118.9
10,96.0,37.21,7,6.08,1.151,7.08,8.0,4.0,14.09,8.92,0.774,0.6,0.941,0.711,155.62,16.52,63.19,2314.5,1116.7
11,13433.0,1081.89,1398,199.94,6.992,10.94,31.62,2.0,282.32,92.38,0.945,23.8,0.645,0.413,16.48,11.43,9.6,3106.1,1281.1
12,120.0,51.94,15,16.97,0.884,5.25,8.0,2.0,21.93,7.96,0.932,43.6,0.833,0.441,133.38,9.23,54.62,2059.5,1200.4
13,81.0,33.8,6,5.83,1.029,6.85,8.0,6.0,13.8,7.62,0.834,-28.1,0.92,0.623,140.58,6.0,49.12,2017.5,1209.3
14,254.0,72.18,26,23.43,1.11,7.76,12.65,2.83,28.64,13.0,0.891,-22.1,0.833,0.535,142.65,27.23,74.37,2461.2,1235.2
15,215.0,63.11,18,10.77,1.671,8.84,12.0,4.0,20.33,14.71,0.69,-18.2,0.867,0.666,126.74,30.22,87.49,2649.2,1253.0
16,136.0,49.11,14,13.15,1.064,7.09,8.25,5.66,19.82,8.97,0.892,82.7,0.913,0.68,150.71,12.43,57.35,2735.7,1299.9
17,192.0,55.94,12,11.7,1.025,9.02,11.31,6.0,21.92,11.54,0.85,-21.2,0.919,0.623,150.87,19.92,67.89,2302.2,1329.0
18,192.0,54.63,12,11.18,1.073,9.42,12.0,7.21,22.15,11.25,0.862,-83.5,0.941,0.727,150.38,17.05,59.4,2945.8,1369.1
