larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,3599.0,400.15,188,145.67,1.291,18.17,25.3,2.0,161.88,38.65,0.971,77.0,0.64,0.361,2.8,8.93,0.75,1963.3,1556.0
2,1793.0,441.91,203,53.76,3.776,7.9,14.14,2.0,171.69,17.52,0.995,67.0,0.58,0.152,136.42,7.24,18.61,2084.6,1702.2
3,2719.0,511.41,291,185.05,1.573,7.82,22.8,2.0,183.97,24.86,0.991,17.0,0.695,0.228,137.9,5.7,7.58,2497.5,2080.0
4,96.0,45.46,17,10.2,1.667,5.09,8.0,2.83,17.2,9.01,0.852,-25.6,0.787,0.462,127.06,18.2,68.19,1452.2,2058.9
5,200.0,104.95,48,36.67,1.309,3.49,6.32,2.0,37.24,8.59,0.973,12.8,0.69,0.394,150.62,2.0,15.38,2539.3,2220.4
6,107.0,44.28,15,11.4,1.316,5.87,8.0,2.83,16.38,10.06,0.789,-50.9,0.823,0.51,128.21,22.73,76.32,1190.3,2241.7
7,82.0,35.8,9,9.43,0.954,5.47,8.0,2.83,13.38,8.61,0.766,28.5,0.872,0.573,135.5,15.37,62.62,1312.9,2261.5
8,121.0,44.87,13,12.37,1.051,6.64,8.25,4.0,17.19,9.83,0.82,19.1,0.896,0.56,137.99,20.64,67.72,2008.7,2346.6
9,82.0,33.21,8,7.07,1.131,6.08,8.49,2.83,11.62,9.3,0.599,77.7,0.953,0.631,128.54,29.49,82.34,1621.5,2525.1
10,93.0,40.63,13,10.82,1.202,5.56,8.0,4.0,14.83,9.45,0.771,56.5,0.877,0.554,142.52,24.76,72.02,2193.0,2527.7
11,101.0,37.8,7,7.21,0.971,7.07,10.0,4.0,12.73,10.48,0.568,84.8,0.91,0.656,124.89,28.36,88.68,1831.9,2557.9
12,143.0,60.77,20,18.38,1.088,5.41,10.0,2.83,21.61,11.43,0.849,61.2,0.715,0.421,133.24,26.77,78.47,1639.4,2648.8
13,153.0,64.77,26,20.4,1.275,5.44,8.94,2.0,23.15,11.39,0.871,6.0,0.715,0.512,126.46,31.63,87.42,1412.4,2673.5
14,128.0,52.53,17,15.0,1.133,5.75,10.0,2.83,18.12,11.21,0.786,48.4,0.771,0.471,130.98,24.55,64.91,1325.2,2923.0
15,110.0,41.21,7,6.32,1.107,7.38,10.0,4.47,13.38,11.27,0.539,28.7,0.88,0.705,128.38,22.5,78.65,1741.7,3002.2
16,211.0,64.53,19,18.03,1.054,7.46,11.66,2.83,23.54,13.03,0.833,-2.0,0.876,0.528,130.34,27.21,83.82,2106.7,3044.6
17,95.0,38.63,11,6.32,1.739,6.3,8.49,4.0,13.3,10.18,0.644,32.6,0.88,0.609,108.39,17.62,67.55,1267.1,3091.4
18,148.0,56.28,14,13.0,1.077,6.2,10.0,4.0,22.4,10.19,0.891,-17.7,0.827,0.542,129.77,21.63,63.74,1708.3,3119.1
19,119.0,40.38,9,8.25,1.091,8.08,10.0,6.0,15.38,10.02,0.758,-16.9,0.915,0.721,125.62,28.42,70.8,1869.0,3116.8
