date,n_larvae,mean_body_length,std_body_length,median_body_length,p05_body_length,p95_body_length
19.10,749,9.044446302548034,24.812418610875078,3.464921009551163,2.6486798204259534,27.690645528654724
20.10,610,10.417374723735604,16.95151168101793,3.6489341121168115,2.602134608216696,49.39632844209878
21.10,466,9.985434987307933,15.289793733159119,3.6998092455347344,2.6721120744661926,58.565499027370315
24.10,1340,6.081057143297524,7.743284190461106,4.461654221599375,2.773138495769865,12.420415640425492
25.10,765,6.662641535430371,11.409656993367546,4.78807156420213,2.907086489198353,11.110911358022381
26.10,689,6.801679907447601,12.297788677599819,5.198300806960598,3.0183942799403627,11.702582480202969
27.10,961,9.247336456286975,20.250418231913756,5.218214563113955,3.1936307497261556,18.455915199393733
29.10,1489,8.627429602594468,9.33818038651481,6.511669411821564,3.748996989833139,20.36022841566797
3.11,1938,8.167124272380294,8.374691564953174,6.570137178860337,3.743403330523172,13.50380775319565
31.10,2004,8.352842592625853,8.454655881752593,7.144470406708233,3.787845381822064,13.752308122862868
