larva_id,area,perimeter,body_length,euclidean_length,curvature_ratio,mean_width,max_width,min_width,major_axis,minor_axis,eccentricity,orientation_deg,solidity,extent,mean_intensity,std_intensity,mean_blackhat,centroid_x,centroid_y
1,85.0,42.87,12,10.2,1.177,4.9,6.32,2.83,17.56,6.58,0.927,-23.9,0.85,0.531,91.8,9.92,56.22,1969.9,802.8
2,5235.0,600.57,541,123.15,4.393,9.93,24.17,2.0,111.1,84.79,0.646,-26.6,0.683,0.479,14.65,10.68,8.56,1692.7,860.6
3,83.0,49.11,18,10.63,1.693,3.22,5.66,2.0,18.42,8.8,0.879,-65.2,0.68,0.376,138.02,2.37,11.08,1977.0,856.3
4,267.0,65.25,20,19.1,1.047,9.88,14.56,4.47,22.3,15.98,0.697,0.2,0.905,0.586,118.12,24.16,81.79,2675.2,948.5
5,11253.0,1510.33,1034,530.41,1.949,10.56,24.08,2.0,602.27,51.5,0.996,-29.8,0.403,0.088,136.22,7.34,10.99,1787.4,1130.4
6,845.0,239.61,173,53.91,3.209,5.07,16.97,2.0,60.99,21.66,0.935,-46.2,0.756,0.356,132.44,28.48,21.29,1806.2,1042.3
7,110.0,48.28,17,16.49,1.031,5.11,8.0,2.0,19.07,8.42,0.897,13.9,0.84,0.55,143.58,8.61,51.42,2792.4,1076.3
8,241.0,70.53,27,20.22,1.335,8.18,12.0,4.0,25.07,13.87,0.833,3.7,0.858,0.591,113.61,36.09,106.62,1870.7,1097.5
9,244.0,74.77,34,22.0,1.545,7.34,11.66,2.83,29.54,12.46,0.907,11.9,0.762,0.513,116.49,22.26,72.6,2052.9,1103.1
10,214.0,65.36,19,17.8,1.067,7.82,10.77,4.0,24.02,12.68,0.849,50.6,0.814,0.563,110.83,22.56,70.42,2075.8,1125.8
11,121.0,46.63,12,12.08,0.993,6.13,8.25,2.83,18.46,8.93,0.875,-25.8,0.877,0.548,130.54,9.09,52.18,2277.4,1176.9
12,208.0,56.28,15,11.18,1.342,8.7,12.65,2.83,19.41,14.5,0.665,-45.3,0.912,0.68,119.31,25.23,80.52,2430.9,1239.9
13,134.0,47.21,12,12.53,0.958,6.82,10.0,4.0,18.84,9.44,0.866,21.8,0.937,0.677,160.22,10.26,53.78,2963.0,1288.6
14,213.0,66.18,19,16.28,1.167,8.2,11.66,5.66,26.18,11.79,0.893,58.6,0.839,0.514,129.38,23.14,74.25,1744.6,1323.5
15,129.0,43.46,9,4.24,2.121,8.48,10.0,7.21,14.38,12.09,0.541,-56.1,0.915,0.658,143.09,18.63,68.94,2555.7,1338.0
16,459.0,123.3,63,38.0,1.658,7.29,12.17,2.0,43.72,17.05,0.921,-0.1,0.746,0.474,125.31,20.93,66.53,2208.4,1364.8
17,256.0,73.11,26,24.84,1.047,8.07,12.0,2.83,27.22,13.69,0.864,23.0,0.828,0.561,143.56,20.15,67.81,2542.0,1378.6
18,85.0,35.8,9,8.54,1.053,6.44,7.21,5.66,14.92,7.42,0.867,67.3,0.924,0.607,139.86,10.0,54.64,2216.7,1469.6
19,271.0,85.36,49,13.04,3.758,5.68,10.2,2.0,33.2,13.35,0.916,83.0,0.774,0.514,110.6,16.31,65.81,3190.6,1506.9
20,349.0,96.53,53,12.04,4.401,7.02,12.0,2.83,39.25,13.27,0.941,86.0,0.797,0.524,137.29,22.98,74.37,2639.3,1577.0
21,95.0,37.21,10,7.21,1.387,6.63,8.25,4.0,12.12,10.74,0.464,53.8,0.96,0.66,99.05,10.7,57.17,2005.1,1577.8
22,159.0,56.53,23,12.08,1.903,6.57,10.0,2.83,18.21,12.45,0.73,-73.4,0.841,0.53,89.92,18.45,68.08,1846.3,1633.8
23,178.0,54.28,14,14.32,0.978,8.08,10.0,5.66,21.73,10.85,0.866,73.5,0.927,0.674,131.97,16.51,67.21,2223.3,1765.6
24,327.0,84.43,36,24.21,1.487,8.54,12.65,2.83,31.3,15.19,0.874,68.8,0.838,0.511,124.22,24.84,83.85,2784.8,1788.6
25,346.0,102.33,41,31.76,1.291,7.5,14.0,2.83,37.16,15.07,0.914,50.4,0.7,0.388,127.6,28.4,86.22,2494.9,1815.2
26,254.0,71.84,24,24.7,0.972,8.32,12.0,2.83,30.24,11.51,0.925,63.7,0.894,0.487,145.1,22.05,69.33,2892.7,1869.1
27,195.0,63.6,22,14.32,1.537,7.02,10.77,4.0,19.58,14.99,0.643,26.5,0.826,0.516,97.4,20.44,78.36,1966.8,1931.4
28,134.0,50.28,16,0,1.0,4.78,10.0,2.0,16.47,12.07,0.68,-78.8,0.807,0.563,86.38,12.38,60.04,1612.3,1933.5
29,258.0,72.43,18,20.0,0.9,8.81,12.17,5.66,25.06,14.33,0.82,35.3,0.835,0.59,117.61,28.16,90.14,2279.6,1965.1
30,94.0,36.97,9,9.43,0.954,6.72,8.0,5.66,15.74,7.9,0.865,-28.1,0.94,0.671,115.35,11.11,54.28,1905.1,1970.1
31,174.0,56.04,15,14.14,1.061,7.29,8.25,6.0,24.01,10.18,0.906,16.1,0.874,0.608,140.68,19.2,65.78,2091.6,2059.7
32,211.0,60.28,16,15.13,1.057,8.84,10.77,6.0,24.69,11.45,0.886,-81.1,0.906,0.628,139.43,18.69,65.75,2285.5,2094.1
33,292.0,77.6,24,18.87,1.272,9.82,12.65,6.0,26.08,16.27,0.782,48.1,0.849,0.552,114.32,23.69,72.02,2522.4,2169.2
34,144.0,50.53,14,14.21,0.985,7.29,10.0,5.66,21.13,9.41,0.895,55.3,0.9,0.533,108.57,11.03,53.12,2492.8,2295.6
